"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Mag"
"0";"PRZYJAŹŃ";" Uroki, sztuczka";" 1 akcja";" Na siebie";" S, M (trochę makijażu na twarz)";" Koncentracja, do 1 minuty";" Działanie czaru zapewnia ci ułatwienie we wszystkich testach Charyzmy wykonywanych względem wybranej istoty, która nie jest do ciebie wrogo nastawiona. Gdy działanie czaru dobiega końca, zdaje sobie ona sprawę, że wpłynąłeś na nią magiczni, i staje się wroga. Istota agresywna może cię zaatakować. Nieagresywna może poszukiwać innego sposobu na wyrównanie rachunków (według uznania MP), zależnie od rodzaju waszej interakcji.";"Mag"
"0";"ŚWIATŁO";" Wywoływanie, sztuczka";" 1 akcja";" Dotyk";" W, M (świetlik lub fosforyzujący mech)";" 1 godzina";" Dotykasz obiektu, którego żaden z wymiarów nie przekracza 3m. Dopóki czar trwa, obiekt świeci światłem w promieniu kolejnych 6m. Czar dobiega końca, gdy rzucisz go ponownie lub zakończysz go w ramach swojej akcji.<br><br>Jeżeli rzucasz ten czar na przedmiot trzymany lub noszony przez wrogą istotę, to musi ona wykonać udany rzut obronny na Zręczność, by uniknąć efektu.";"Mag"
"0";"TAŃCZĄCE ŚWIATŁA";" Wywoływanie, sztuczka";" 1 akcja";" 36 metrów";" W,S,M (kawałek fosforu, drewna wiązu lub świetlik)";" Koncentracja, do 1 minuty";" Tworzysz w zasięgu czaru do czterech świateł o rozmiarze i wyglądzie pochodni, latarń lub świecących kul, unoszących się w powietrzu przez czas działania czaru. Możesz także z tych czterech świateł złożyć świecącą formę przypominającą Średniego humanoida. Niezależnie od wybranej formy, każde z nich świeci słabym światłem w promieniu 3.<br><br>W ramach akcji dodatkowej w swojej turze, możesz przemieścić światła na odległość do 18m w nowe miejsce w zasięgu czaru. Każde światło musi znajdować się do 6m od innego światła stworzonego tym czarem i gaśnie, gdy wyjdzie poza zasięg czaru.";"Mag"
"0";"TRUJĄCY ROZPRYSK";" Przywoływanie, sztuczka";" 1 akcja";" 3 metry";" W, S";" Natychmiastowy";" Wyciągasz dłoń ku istocie, którą widzisz w zasięgu czaru, i pryskasz w nią obłokiem szkodliwego gazu. Musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 1k12 obrażeń od trucizny.<br><br>Na wyższych kręgach. Obrażenia zwiększają się o 1k12 gdy osiągniesz 5. poziom (do 2k12), 11. poziom (do 3k12) i 17. poziom (do 4k12).";"Mag"
"0";"WIADOMOŚĆ";" Przemiany, sztuczka";" 1 akcja";" 36 metrów";" W, S, M (kawałek miedzianego drutu)";" 1 runda";" Wskazujesz palcem istotę w zasięgu czaru i szepczesz wiadomość. Tylko adresat słyszy tę wiadomość i może na nią odpowiedzieć szeptem, który usłyszysz tylko ty.<br><br>Możesz rzucić to zaklęcie przez stałe obiekty, jeśli znasz adresata i wiesz, że znajduje się po drugiej stronie przeszkody. Zaklęcie zostaje zablokowane, jeśli na jego drodze znajduje się strefa magicznej ciszy, 30cm kamienia, 2,5cm metalu, cienka warstwa ołowiu lub 90cm drewna. Wiadomość nie musi podążać po prostej, może omijać przeszkody i korzystać z otwartych przejść.";"Mag"
"1";"ALARM";"Odpychanie, 1. krąg (rytuał) ";"1 minuta ";" 9 metrów";" W,S,M (mały dzwoneczek i kawałek cienkiego, srebrnego drutu)";" 8 godzin";" Nastawiasz alarm przeciw intruzom. Wybierz znajdujące się w zasięgu drzwi, okno lub obszar nie większy niż 6-metrowy sześcian. Przez cały czas trwania, czar będzie cię ostrzegać, kiedy Mała lub większa istota dotknie strzeżonego obszaru, lub do niego wejdzie. Rzucając czar, możesz określić istoty, które nie są intruzami. Wtedy decydujesz również, czy alarm jest dźwiękowy, czy ostrzega cię tylko mentalnie.<br><br>Alarm mentalny wywoła wrażenie dźwięku w twojej głowie, o ile pozostaniesz w obrębie 1,5 km od strzeżonego obszaru. Obudzi cię, jeśli będziesz spać.<br><br>Alarm dźwiękowy, przez 10s wytwarza dźwięk dzwonka rozchodzący się na odległość 18m.";"Mag"
"1";"BARWNA KULA";" Wywoływanie, 1. krąg";" 1 akcja";" 27 metrów";" W, S, M (diament o wartości co najmniej 50 sz)";" Natychmiastowy";" Miotasz kulą energii o średnicy 10 centymetrów w istotę, którą widzisz w zasięgu czaru. Wybierasz typ stworzonej kuli: dźwięk, elektryczność, kwas, ogień, trucizna albo zimno, po czym wykonujesz atak dystansowy czarem. Przy trafieniu, cel otrzymuje 3k8 obrażeń wybranego typu.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. obrażenia zwiększają się o 1k8.";"Mag"
"1";"BŁYSKAWICZNY ODWRÓT";" Przemiany, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W, S";" Koncentracja, do 10 minut";" Ten czar pozwala ci niewiarygodnie szybko się przemieszczać. Gdy go rzucisz, potem w ramach każdej swojej akcji dodatkowej w czasie jego trwania, możesz wykonać Sprint.";"Mag"
"1";"CHMURA MGŁY";" Przywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 godziny";" Przywołujesz kulistą chmurę mgły o promieniu 6m, której środek znajduje się w zasięgu zaklęcia. Mgła rozprzestrzenia się wokół rogów i załomów, a jej obszar jest pozbawiony widoczności. Chmura utrzymuje się do wygaśnięcia czaru, choć wcześniej może ją też rozwiać wiatr o umiarkowanej lub większej prędkości (co najmniej 15km/h).<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz promień chmury o 6 metrów.";"Mag"
"1";"FALA GROMU";" Wywoływanie, 1. krąg";" 1 akcja";" Na siebie (sześcian o boku 4,5 metra)";" W, S";" Natychmiastowy";" Uwalniasz falę ogłuszającej mocy.<br><br>W przestrzeni o kształcie wychodzącego od ciebie sześcianu o boku 4,5m, wszystkie istoty muszą wykonać rzut obronny na Kondycję.<br><br>W przypadku niepowodzenia, otrzymują po 2k8 obrażeń od dźwięku i zostają odepchnięte o 3m od ciebie. Po udanym rzucie, otrzymują połowę obrażeń i nie zostają odepchnięte.<br><br>Ponadto, niezabezpieczone przedmioty znajdujące się w całości na obszarze działania czaru zostają automatycznie odepchnięte o 3 metry od ciebie, a zaklęcie wywołuje ogłaszający huk słyszalny z odległości 90 metrów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz obrażenia o 1k8.";"Mag"
"1";"FAŁSZYWE ŻYCIE";" Nekromancja, 1. krąg";" 1 akcja";" Na siebie";" W, S, M (niewielka ilość alkoholu lub spirytusu)";" 1 godzina";" Zyskujesz 1k4+4 tymczasowych PW na czas trwania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zyskujesz 5 dodatkowych PW.";"Mag"
"1";"IDENTYFIKACJA";" Wieszczenie, 1. krąg (rytuał)";" 1 minuta";" Dotyk";" W, S, M (perła o wartości co najmniej 100 sz i sowie pióro)";" Natychmiastowy";" Podczas rzucania czaru dotykasz przez minutę wybranego przedmiotu. Jeśli jest magiczny lub w jakikolwiek sposób nasączony magią, poznajesz jego właściwości i dowiadujesz się, jak z nich korzystać. Wykrywasz także, czy wymaga zestrojenia z właścicielem oraz ile ewentualnych ładunków posiada, Dowiadujesz się, czy i jakie czary oddziałują obecnie na przedmiot. Jeśli przedmiot został wykonany zaklęciem, poznasz jego nazwę. <br><br>Jeśli podczas rzucania zaklęcia dotykasz stworzenia, a nie przedmiotu, to wykrywasz, pod wpływem jakich czarów aktualnie się znajduje.";"Mag"
"1";"ILUZORYCZNY MANUSKRYPT";" Iluzje, 1. krąg (rytuał)";" 1 minuta";" Dotyk";" S, M (inkaust na bazie ołowiu o wartości co najmniej 10sz, zużywany przez zaklęcie)";" 10 dni";" Pisząc na pergaminie, papierze lub innym nadającym się do tego materiale, nasączasz go silną iluzją trwającą 10 dni. Dla ciebie i stworzeń wybranych podczas rzucania czaru, tekst będzie wyglądał normalnie - napisany twoją ręką<br>i zawierający zamierzoną wiadomość. W oczach innych osób będzie kompletnie nieczytelny, jakby został zapisany w niezrozumiałym dla nich, nieznanym lub magicznym języku. Jeśli wolisz, możesz zdecydować, że nieupoważnione osoby będą widzieć czytelny, ale całkowicie odmienny tekst, napisany cudzą ręką, w innym, znanym ci języku.<br><br>W przypadku rozproszenia czaru, znika zarówno iluzja, jak i oryginalny tekst.<br><br>Istota ze zdolnością prawdziwego widzenia jest w stanie odczytać ukrytą wiadomość.";"Mag"
"1";"KOLOROWY ROZPRYSK";" Iluzje, 1. krąg";" 1 akcja";" Na siebie (stożek o długości 4,5 metra)";" W, S, M (szczypta pyłu lub piasku, zabarwionego na czerwono, żółto i niebiesko)";" 1 runda";" Z twojej dłoni bucha oślepiające kolorowe światło. Rzuć 6k10, by określić łączną pulę punktów wytrzymałości stworzeń, które może objąć zaklęcie. Czar działa na istoty stojące wewnątrz wychodzącego z twojej dłoni stożka o długości 4.5 metra, w kolejności rosnącej według aktualnie posiadanych PW (z pominięciem istot nieprzytomnych i niewidzących).<br>Począwszy od istoty mającej aktualnie najmniej PW, każde objęte zaklęciem stworzenie zostaje oślepione do końca twojej następnej tury. Odejmuj od puli PW każdej objętej już istoty przed przejściem do kolejnej. Aby czar zadziałał na kolejną istotę, jej aktualne PW muszą mieścić się w pozostałej jeszcze puli punktów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2, kręgu, za każdy krąg powyżej 1. dodajesz 2k10 do puli PW obejmowanych czarem.";"Mag"
"1";"MAGICZNY POCISK";" Wywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wywołujesz trzy świetliste strzałki stworzone z magicznej energii. Każda z nich uderza w wybrany przez ciebie cel, który widzisz w zasięgu zaklęcia. Strzałka zadaje celowi 1k4 + 1 obrażeń od mocy. Strzałki uderzają jednocześnie, a ty możesz skierować je przeciw jednemu celowi lub kilku celom.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, każdy krąg powyżej 1 . tworzysz dodatkową strzałkę.";"Mag"
"1";"MILCZĄCY OBRAZ";" Iluzje 1. krąg";" 1 akcja";" 18 metrów";" W, S, M (odrobina zwierzęcego runa)";" Koncentracja, do 10 minut";" Tworzysz iluzję obiektu, stworzenia lub innego widzialnego zjawiska, nieprzekraczającego wielkością sześcianu o boku 4,5m. Obraz pojawia się w miejscu wskazanym w zasięgu czaru. Jest czysto wizualny - nie może towarzyszyć mu dźwięk, zapach, ani inny efekt sensoryczny.<br><br>W ramach swojej akcji, możesz przenieść ten obraz do dowolnego miejsca w zasięgu czaru Zmieniając jego położenie, możesz wpłynąć na jego wygląd tak, by ruch wyglądał na jego własny. Przykładowo - możesz wywołać i przemieszczać obraz stworzenia, kształtując go tak, by wyglądał, jakby to stworzenie chodziło.<br><br>Fizyczna interakcja demaskuje iluzję, gdyż przenikają przez nią przedmioty. Istota przeznaczając akcję na zbadanie iluzji, może ją przejrzeć przy udanym teście Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Rozpoznawszy iluzję, istota może widzieć przez nią.";"Mag"
"1";"NIEWIDOCZNY SŁUGA";" Przywoływanie, 1. krąg (rytuał)";" 1 akcja";" 18 metrów";" W, S, M (kawałek sznurka i drewna)";" 1 godzina";" Przy pomocy tego zaklęcia tworzysz niewidzialną, bezmyślną i bezkształtną siłę o rozmiarze Średnim, która wykonuje dla ciebie proste zadania. Sługa zostaje przywołany w wolnym miejscu w zasięgu czaru. Ma KP 10, 1 PW, Siłę 2 i nie może atakować. jeśli jego wytrzymałość spadnie do 0, zaklęcie się kończy.<br><br>Raz na turę w ramach swojej akcji dodatkowej możesz telepatycznie rozkazać słudze przemieścić się na odległość do 4,5m i wykonać działanie na określonym obiekcie. Sługa potrafi wykonać proste czynności, jakie mogłyby być zadaniami ludzkiego służącego, np. przyniesie przedmiot, posprząta, dokona drobnych napraw, poskłada ubrania, rozpali ogień, poda posiłek lub naleje wina. Sługa wypełnia polecenie najlepiej jak potrafi, po czym czeka na następne.<br><br>Jeśli rozkażesz słudze wykonać zadanie, które wymagałoby od niego oddalenie się na więcej niż 18m od ciebie, to zaklęcie wygaśnie.";"Mag"
"1";"OCHRONA PRZED DOBREM I ZŁEM";" Odpychanie, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (woda święcona albo sproszkowane srebro i żelazo, zużywane przez zaklęcie)";" Koncentracja, do 10 minut";" Podczas trwania czaru jedna przychylna istota jest chroniona przed określonymi rodzajami stworzeń: czartami, fey, niebianami, nieumarłymi, wynaturzeniami i żywiołakami.<br><br>Ochrona zapewnia kilka korzyści. Istoty wymienionych typów mają utrudnienie w testach ataku przeciwko celowi zaklęcia. Jest on również niepodatny na zauroczenie, przerażenie lub opętanie przez te istoty. Jeśli podczas rzucania czaru był zauroczony, przerażony lub opętany przez jedną z takich istot, to ma ułatwienie w kolejnych rzutach obronnych przeciwko odpowiedniemu efektowi.";"Mag"
"1";"OHYDNY ŚMIECH TASHY";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (ciastko z kremem i pióro, którym machasz w powietrzu)";" Koncentracja, do 1 minuty";" Wybrana istota, którą widzisz w zasięgu czaru, postrzega wszystko jako niesamowicie śmieszne i jeśli nie oprze się zaklęciu, pada na ziemię ze śmiechu. Musi wykonać udany rzut obronny na Mądrość, albo przewróci się, stając się obezwładniona i do końca trwania czaru, nie będzie mogła się podnieść. Stworzenia o inteligencji 4 lub mniejszej są niepodatne na to zaklęcie.<br><br>Cel zaklęcia może ponowić rzut obronny na Mądrość pod koniec każdej swojej tury i za każdym razem, gdy otrzymuje obrażenia. Ma ułatwienie w tym rzucie, jeśli został wywołany obrażeniami. Po udanym rzucie obronnym, zaklęcie się kończy.";"Mag"
"1";"PIÓRKOSPADANIE";" Przemiany, 1. krąg";" 1 reakcja na upadek twój lub istoty w obrębie 18 metrów";" 18 metrów";" W, M (piórko lub trochę puchu)";" 1 minuta";" Wybierz do 5 spadających istot znajdujących się w zasięgu czaru. <br>W czasie działania czaru, ich szybkość spadania maleje do 18 m na rundę. Jeżeli któraś z nich w tym czasie wyląduje, to nie otrzyma obrażeń od upadku i może wylądować na nogach, a działanie zaklęcia dla niej się skończy. ";"Mag"
"1";"PŁONĄCE DŁONIE";" Wywoływanie, 1. krąg";" 1 akcja";" Na siebie (stożek o długości 4,5 metra)";" W, S";" Natychmiastowy";" Wyciągasz przed siebie rozczapierzone palce dłoni złączonych kciukami, bucha z nich wachlarz płomieni. Każda istota znajdująca się na obszarze stożka o długości 4,5 metra, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 3k6 obrażeń od ognia. Udany rzut zmniejsza obrażenia o połowę. Ogień stworzony tym czarem podpala łatwopalne obiekty, które nie są przez nikogo noszone ani trzymane<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia o 1k6.";"Mag"
"1";"PROMIEŃ ZATRUCIA";" Nekromancja, 1. krąg";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Ku istocie w zasięgu czaru mknie promień chorobliwie zielonej energii. Wykonaj atak dystansowy czarem. Przy trafieniu cel otrzymuje 2k8 obrażeń od trucizny i musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia zostaje zatruty do końca twojej następnej tury.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia o 1k8.";"Mag"
"1";"PRZEBRANIE SIEBIE";" Iluzje, 1. krąg";" 1 akcja";" Na siebie";" W, S";" 1 godzina";" Zmieniasz wygląd, włącznie z ubraniem, opancerzeniem, bronią itp.. Efekt trwa przez cały czas działania czaru, lub do chwili, w której go zakończysz w ramach swojej akcji. Możesz sprawić, że będziesz wyglądać na wyższego lub niższego o 30cm, szczupłego, grubego lub przeciętnej budowy ciała, więc przyjmując nowy wygląd, jesteś ograniczony do tego samego układu kończyn. Poza tym, zakres zmian zależy od ciebie.<br><br>Fizyczne sprawdzenie zdemaskuje twoją iluzję. Przykładowo - jeśli swój strój wzbogacisz o iluzoryczny kapelusz, inne przedmioty będą przez niego przenikać, a dotykająca go osoba nie poczuje pod palcami nic, albo wymaca twoją głowę i włosy. Jeśli użyjesz zaklęcia, by wydawać się szczuplejszym, niż jesteś, to sięgająca ku tobie dłoń zderzy się z tobą, choć będzie wyglądać, jakby właściciel zatrzymał ją<br>w powietrzu. <br><br>Aby odkryć twoje przebranie, należy użyć akcji w celu przyjrzenia się twojemu wyglądowi i zdać test Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom.";"Mag"
"1";"ROZUMIENIE JĘZYKÓW";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S, M (szczypta sadzy i soli)";" 1 godzina";" Na czas działania czaru uzyskujesz zdolność dosłownego rozumienia mowy W każdym języku, jaki słyszysz. Rozumiesz także pismo, które widzisz, ale musisz W tym celu dotykać powierzchni, na której zostały zapisane słowa. Przeczytanie jednej strony tekstu zajmuje około 1 minuty. Przy pomocy tego zaklęcia nie rozszyfrujesz tajnych wiadomości W tekście ani glifu, takiego jak magiczna pieczęć, który nie jest częścią języka pisanego.";"Mag"
"1";"SKOK";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (tylna noga pasikonika)";" 1 minuta";" Dotykasz wybranej istoty. Odległość jej skoku zostaje potrojona na czas działania czaru.";"Mag"
"1";"SZYBKONOGI";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (szczypta pyłu)";" 1 godzina";" Dotykasz wybranego stworzenia. Jego szybkość zwiększa się o 3 metry do czasu zakończenia czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy dodatkowy krąg możesz objąć czarem jedną dodatkową istotę.";"Mag"
"1";"TARCZA";" Odpychanie, 1. krąg";" 1 reakcja podejmowana, gdy trafia cię atak, lub stajesz się celem magicznego pocisku";" Na siebie";" W, S";" 1 runda";" Sprawiasz, że pojawia się przy tobie chroniąca cię bariera magicznej mocy. Do rozpoczęcia swojej następnej tury masz premię +5 do KP również przeciwko atakowi, na który reagujesz, oraz nie otrzymujesz obrażeń od magicznego pocisku.";"Mag"
"1";"TŁUSZCZ";" Przywoływanie, 1. krąg";" 1 akcja";" 18 metrów";" W, S, M *kawałek słoniny lub masła)";" 1 minuta";" Śliski tłuszcz pokrywa grunt na obszarze kwadratu o boku 3 metrów wokół wybranego punktu w zasięgu, sprawiając, że na czas działania zaklęcia zamienia się on w trudny teren.<br><br>W momencie pojawienia się tłuszczu każda istota stojąca na tym obszarze musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, przewraca się i jest traktowana jako powalona. Istoty wchodzące w obszar lub kończące w nim swoją turę, również muszą wykonać udany rzut obronny na Zręczność, aby się nie wywrócić.";"Mag"
