"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Zaklinacz"
"0";"PRZYJAŹŃ";" Uroki, sztuczka";" 1 akcja";" Na siebie";" S, M (trochę makijażu na twarz)";" Koncentracja, do 1 minuty";" Działanie czaru zapewnia ci ułatwienie we wszystkich testach Charyzmy wykonywanych względem wybranej istoty, która nie jest do ciebie wrogo nastawiona. Gdy działanie czaru dobiega końca, zdaje sobie ona sprawę, że wpłynąłeś na nią magiczni, i staje się wroga. Istota agresywna może cię zaatakować. Nieagresywna może poszukiwać innego sposobu na wyrównanie rachunków (według uznania MP), zależnie od rodzaju waszej interakcji.";"Zaklinacz"
"0";"ŚWIATŁO";" Wywoływanie, sztuczka";" 1 akcja";" Dotyk";" W, M (świetlik lub fosforyzujący mech)";" 1 godzina";" Dotykasz obiektu, którego żaden z wymiarów nie przekracza 3m. Dopóki czar trwa, obiekt świeci światłem w promieniu kolejnych 6m. Czar dobiega końca, gdy rzucisz go ponownie lub zakończysz go w ramach swojej akcji.<br><br>Jeżeli rzucasz ten czar na przedmiot trzymany lub noszony przez wrogą istotę, to musi ona wykonać udany rzut obronny na Zręczność, by uniknąć efektu.";"Zaklinacz"
"0";"TAŃCZĄCE ŚWIATŁA";" Wywoływanie, sztuczka";" 1 akcja";" 36 metrów";" W,S,M (kawałek fosforu, drewna wiązu lub świetlik)";" Koncentracja, do 1 minuty";" Tworzysz w zasięgu czaru do czterech świateł o rozmiarze i wyglądzie pochodni, latarń lub świecących kul, unoszących się w powietrzu przez czas działania czaru. Możesz także z tych czterech świateł złożyć świecącą formę przypominającą Średniego humanoida. Niezależnie od wybranej formy, każde z nich świeci słabym światłem w promieniu 3.<br><br>W ramach akcji dodatkowej w swojej turze, możesz przemieścić światła na odległość do 18m w nowe miejsce w zasięgu czaru. Każde światło musi znajdować się do 6m od innego światła stworzonego tym czarem i gaśnie, gdy wyjdzie poza zasięg czaru.";"Zaklinacz"
"0";"TRUJĄCY ROZPRYSK";" Przywoływanie, sztuczka";" 1 akcja";" 3 metry";" W, S";" Natychmiastowy";" Wyciągasz dłoń ku istocie, którą widzisz w zasięgu czaru, i pryskasz w nią obłokiem szkodliwego gazu. Musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 1k12 obrażeń od trucizny.<br><br>Na wyższych kręgach. Obrażenia zwiększają się o 1k12 gdy osiągniesz 5. poziom (do 2k12), 11. poziom (do 3k12) i 17. poziom (do 4k12).";"Zaklinacz"
"0";"WIADOMOŚĆ";" Przemiany, sztuczka";" 1 akcja";" 36 metrów";" W, S, M (kawałek miedzianego drutu)";" 1 runda";" Wskazujesz palcem istotę w zasięgu czaru i szepczesz wiadomość. Tylko adresat słyszy tę wiadomość i może na nią odpowiedzieć szeptem, który usłyszysz tylko ty.<br><br>Możesz rzucić to zaklęcie przez stałe obiekty, jeśli znasz adresata i wiesz, że znajduje się po drugiej stronie przeszkody. Zaklęcie zostaje zablokowane, jeśli na jego drodze znajduje się strefa magicznej ciszy, 30cm kamienia, 2,5cm metalu, cienka warstwa ołowiu lub 90cm drewna. Wiadomość nie musi podążać po prostej, może omijać przeszkody i korzystać z otwartych przejść.";"Zaklinacz"
"1";"BARWNA KULA";" Wywoływanie, 1. krąg";" 1 akcja";" 27 metrów";" W, S, M (diament o wartości co najmniej 50 sz)";" Natychmiastowy";" Miotasz kulą energii o średnicy 10 centymetrów w istotę, którą widzisz w zasięgu czaru. Wybierasz typ stworzonej kuli: dźwięk, elektryczność, kwas, ogień, trucizna albo zimno, po czym wykonujesz atak dystansowy czarem. Przy trafieniu, cel otrzymuje 3k8 obrażeń wybranego typu.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. obrażenia zwiększają się o 1k8.";"Zaklinacz"
"1";"BŁYSKAWICZNY ODWRÓT";" Przemiany, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W, S";" Koncentracja, do 10 minut";" Ten czar pozwala ci niewiarygodnie szybko się przemieszczać. Gdy go rzucisz, potem w ramach każdej swojej akcji dodatkowej w czasie jego trwania, możesz wykonać Sprint.";"Zaklinacz"
"1";"CHMURA MGŁY";" Przywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 godziny";" Przywołujesz kulistą chmurę mgły o promieniu 6m, której środek znajduje się w zasięgu zaklęcia. Mgła rozprzestrzenia się wokół rogów i załomów, a jej obszar jest pozbawiony widoczności. Chmura utrzymuje się do wygaśnięcia czaru, choć wcześniej może ją też rozwiać wiatr o umiarkowanej lub większej prędkości (co najmniej 15km/h).<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz promień chmury o 6 metrów.";"Zaklinacz"
"1";"FALA GROMU";" Wywoływanie, 1. krąg";" 1 akcja";" Na siebie (sześcian o boku 4,5 metra)";" W, S";" Natychmiastowy";" Uwalniasz falę ogłuszającej mocy.<br><br>W przestrzeni o kształcie wychodzącego od ciebie sześcianu o boku 4,5m, wszystkie istoty muszą wykonać rzut obronny na Kondycję.<br><br>W przypadku niepowodzenia, otrzymują po 2k8 obrażeń od dźwięku i zostają odepchnięte o 3m od ciebie. Po udanym rzucie, otrzymują połowę obrażeń i nie zostają odepchnięte.<br><br>Ponadto, niezabezpieczone przedmioty znajdujące się w całości na obszarze działania czaru zostają automatycznie odepchnięte o 3 metry od ciebie, a zaklęcie wywołuje ogłaszający huk słyszalny z odległości 90 metrów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz obrażenia o 1k8.";"Zaklinacz"
"1";"FAŁSZYWE ŻYCIE";" Nekromancja, 1. krąg";" 1 akcja";" Na siebie";" W, S, M (niewielka ilość alkoholu lub spirytusu)";" 1 godzina";" Zyskujesz 1k4+4 tymczasowych PW na czas trwania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zyskujesz 5 dodatkowych PW.";"Zaklinacz"
"1";"KOLOROWY ROZPRYSK";" Iluzje, 1. krąg";" 1 akcja";" Na siebie (stożek o długości 4,5 metra)";" W, S, M (szczypta pyłu lub piasku, zabarwionego na czerwono, żółto i niebiesko)";" 1 runda";" Z twojej dłoni bucha oślepiające kolorowe światło. Rzuć 6k10, by określić łączną pulę punktów wytrzymałości stworzeń, które może objąć zaklęcie. Czar działa na istoty stojące wewnątrz wychodzącego z twojej dłoni stożka o długości 4.5 metra, w kolejności rosnącej według aktualnie posiadanych PW (z pominięciem istot nieprzytomnych i niewidzących).<br>Począwszy od istoty mającej aktualnie najmniej PW, każde objęte zaklęciem stworzenie zostaje oślepione do końca twojej następnej tury. Odejmuj od puli PW każdej objętej już istoty przed przejściem do kolejnej. Aby czar zadziałał na kolejną istotę, jej aktualne PW muszą mieścić się w pozostałej jeszcze puli punktów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2, kręgu, za każdy krąg powyżej 1. dodajesz 2k10 do puli PW obejmowanych czarem.";"Zaklinacz"
"1";"MAGICZNY POCISK";" Wywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wywołujesz trzy świetliste strzałki stworzone z magicznej energii. Każda z nich uderza w wybrany przez ciebie cel, który widzisz w zasięgu zaklęcia. Strzałka zadaje celowi 1k4 + 1 obrażeń od mocy. Strzałki uderzają jednocześnie, a ty możesz skierować je przeciw jednemu celowi lub kilku celom.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, każdy krąg powyżej 1 . tworzysz dodatkową strzałkę.";"Zaklinacz"
"1";"MILCZĄCY OBRAZ";" Iluzje 1. krąg";" 1 akcja";" 18 metrów";" W, S, M (odrobina zwierzęcego runa)";" Koncentracja, do 10 minut";" Tworzysz iluzję obiektu, stworzenia lub innego widzialnego zjawiska, nieprzekraczającego wielkością sześcianu o boku 4,5m. Obraz pojawia się w miejscu wskazanym w zasięgu czaru. Jest czysto wizualny - nie może towarzyszyć mu dźwięk, zapach, ani inny efekt sensoryczny.<br><br>W ramach swojej akcji, możesz przenieść ten obraz do dowolnego miejsca w zasięgu czaru Zmieniając jego położenie, możesz wpłynąć na jego wygląd tak, by ruch wyglądał na jego własny. Przykładowo - możesz wywołać i przemieszczać obraz stworzenia, kształtując go tak, by wyglądał, jakby to stworzenie chodziło.<br><br>Fizyczna interakcja demaskuje iluzję, gdyż przenikają przez nią przedmioty. Istota przeznaczając akcję na zbadanie iluzji, może ją przejrzeć przy udanym teście Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Rozpoznawszy iluzję, istota może widzieć przez nią.";"Zaklinacz"
"1";"PIÓRKOSPADANIE";" Przemiany, 1. krąg";" 1 reakcja na upadek twój lub istoty w obrębie 18 metrów";" 18 metrów";" W, M (piórko lub trochę puchu)";" 1 minuta";" Wybierz do 5 spadających istot znajdujących się w zasięgu czaru. <br>W czasie działania czaru, ich szybkość spadania maleje do 18 m na rundę. Jeżeli któraś z nich w tym czasie wyląduje, to nie otrzyma obrażeń od upadku i może wylądować na nogach, a działanie zaklęcia dla niej się skończy. ";"Zaklinacz"
"1";"PŁONĄCE DŁONIE";" Wywoływanie, 1. krąg";" 1 akcja";" Na siebie (stożek o długości 4,5 metra)";" W, S";" Natychmiastowy";" Wyciągasz przed siebie rozczapierzone palce dłoni złączonych kciukami, bucha z nich wachlarz płomieni. Każda istota znajdująca się na obszarze stożka o długości 4,5 metra, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 3k6 obrażeń od ognia. Udany rzut zmniejsza obrażenia o połowę. Ogień stworzony tym czarem podpala łatwopalne obiekty, które nie są przez nikogo noszone ani trzymane<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia o 1k6.";"Zaklinacz"
"1";"PROMIEŃ ZATRUCIA";" Nekromancja, 1. krąg";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Ku istocie w zasięgu czaru mknie promień chorobliwie zielonej energii. Wykonaj atak dystansowy czarem. Przy trafieniu cel otrzymuje 2k8 obrażeń od trucizny i musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia zostaje zatruty do końca twojej następnej tury.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia o 1k8.";"Zaklinacz"
"1";"PRZEBRANIE SIEBIE";" Iluzje, 1. krąg";" 1 akcja";" Na siebie";" W, S";" 1 godzina";" Zmieniasz wygląd, włącznie z ubraniem, opancerzeniem, bronią itp.. Efekt trwa przez cały czas działania czaru, lub do chwili, w której go zakończysz w ramach swojej akcji. Możesz sprawić, że będziesz wyglądać na wyższego lub niższego o 30cm, szczupłego, grubego lub przeciętnej budowy ciała, więc przyjmując nowy wygląd, jesteś ograniczony do tego samego układu kończyn. Poza tym, zakres zmian zależy od ciebie.<br><br>Fizyczne sprawdzenie zdemaskuje twoją iluzję. Przykładowo - jeśli swój strój wzbogacisz o iluzoryczny kapelusz, inne przedmioty będą przez niego przenikać, a dotykająca go osoba nie poczuje pod palcami nic, albo wymaca twoją głowę i włosy. Jeśli użyjesz zaklęcia, by wydawać się szczuplejszym, niż jesteś, to sięgająca ku tobie dłoń zderzy się z tobą, choć będzie wyglądać, jakby właściciel zatrzymał ją<br>w powietrzu. <br><br>Aby odkryć twoje przebranie, należy użyć akcji w celu przyjrzenia się twojemu wyglądowi i zdać test Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom.";"Zaklinacz"
"1";"ROZUMIENIE JĘZYKÓW";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S, M (szczypta sadzy i soli)";" 1 godzina";" Na czas działania czaru uzyskujesz zdolność dosłownego rozumienia mowy W każdym języku, jaki słyszysz. Rozumiesz także pismo, które widzisz, ale musisz W tym celu dotykać powierzchni, na której zostały zapisane słowa. Przeczytanie jednej strony tekstu zajmuje około 1 minuty. Przy pomocy tego zaklęcia nie rozszyfrujesz tajnych wiadomości W tekście ani glifu, takiego jak magiczna pieczęć, który nie jest częścią języka pisanego.";"Zaklinacz"
"1";"SKOK";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (tylna noga pasikonika)";" 1 minuta";" Dotykasz wybranej istoty. Odległość jej skoku zostaje potrojona na czas działania czaru.";"Zaklinacz"
"1";"TARCZA";" Odpychanie, 1. krąg";" 1 reakcja podejmowana, gdy trafia cię atak, lub stajesz się celem magicznego pocisku";" Na siebie";" W, S";" 1 runda";" Sprawiasz, że pojawia się przy tobie chroniąca cię bariera magicznej mocy. Do rozpoczęcia swojej następnej tury masz premię +5 do KP również przeciwko atakowi, na który reagujesz, oraz nie otrzymujesz obrażeń od magicznego pocisku.";"Zaklinacz"
"1";"UŚPIENIE";" Uroki, 1. krąg";" 1 akcja";" 27 metrów";" W, S, M (szczypta piasku, różane płatki lub świerszcz)";" 1 minuta";" Tym zaklęciem sprawiasz, że objęte nimi istoty pogrążają się w magicznym śnie. Rzuć 5k8, by określić łączną pulę punktów wytrzymałości stworzeń, które obejmie zaklęcie. Czar działa na istoty znajdujące się w obrębie 6m od wskazanego punktu w zasięgu, w kolejności rosnącej według aktualnie posiadanych PW (z pominięciem istot nieprzytomnych).<br><br>Poczynając od istoty mającej najmniej aktualnych PW, wszystkie kolejne objęte tym czarem padają nieprzytomne i śpią do momentu wygaśnięcia czaru, otrzymania obrażeń albo do chwili, w której ktoś przeznaczy swoją akcję na obudzenie ich potrząśnięciem lub uderzeniem. Odejmij od puli PW każdej objętej już istoty, przed przejściem do kolejnej. Aby czar zadziałał na kolejną istotę, jej aktualne PW muszą mieścić się w pozostałej jeszcze puli punktów.";"Zaklinacz"
"1";"WIEDŹMI POCISK";" Wywoływanie, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (gałązka z drzewa uderzonego piorunem)";" Koncentracja, do 1 minuty";" Promień trzaskającej, błękitnej energii wystrzela w kierunku stworzenia w zasięgu czaru i tworzy łuk elektryczności pomiędzy tobą a nim. Wykonaj atak dystansowy czarem przeciwko celowi zaklęcia. Przy trafieniu otrzymuje on 1k12 obrażeń od elektryczności, a w każdej kolejnej turze podczas trwania czaru możesz w ramach swojej akcji automatycznie zadać mu kolejne 1k12 obrażeń.<br><br>Zaklęcie kończy się, jeśli wykorzystasz swoją akcję do czegokolwiek innego. Przestanie działać również wtedy, kiedy twój cel wyjdzie poza zasięg zaklęcia albo znajdzie się za całkowitą osłoną.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz początkowe obrażenia o 1k12.";"Zaklinacz"
"1";"WYKRYCIE MAGII";" Wieszczenie, 1. krąg rytuał";" 1 akcja";" Na siebie";" W, S, M";" Koncentracja, do 10 min";" Podczas trwania czaru, wyczuwasz magię w obrębie 9m od siebie. Gdy wykryjesz w ten sposób obecność magii w stworzeniu lub obiekcie, możesz wykorzystać swoją akcję, by zobaczyć jego nikłą aurę i dowiedzieć się, z jakiej szkoły pochodzi ta magia (jeśli przynależy do którejś ze szkół). <br><br>Wykrycie magii przenika przez większość barier, ale jest blokowane przez kamień o grubości 30 cm, metal o grubości 2,5cm, drewno lub ziemię o grubości 90 cm lub cienką warstwę ołowiu.";"Zaklinacz"
"1";"ZAUROCZENIE OSOBY";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S";" 1 godzina";" Próbujesz zauroczyć humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość, w którym ma ułatwienie, jeśli walczy z tobą, lub z którymś z twoich towarzyszy. W przypadku niepowodzenia zostaje przez ciebie zauroczony na czas trwania zaklęcia lub do momentu, w którym ty, lub któryś z twoich towarzyszy zadziałacie na jego szkodę. Zauroczony humanoid postrzega ciebie jako<br>przyjaznego znajomego. Gdy czar dobiega końca, cel ma świadomość, że został przez ciebie zauroczony.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć zauroczeniem dodatkową istotę. W momencie rzucania czaru, wszystkie cele muszą przebywać w obrębie 9m od siebie.";"Zaklinacz"
"1";"ZBROJA MAGA";" Odpychanie, 1. krąg";" 1 akcja";" Dotyk";" W,S,M (kawałek wyprawionej skóry)";" 8 godzin";" Dotykasz przychylnej istoty, która nie nosi pancerza, i na czas trwania czaru otaczasz ją ochronną magiczną energią.<br><br>KP celu przyjmuje wartość 13 + jego modyfikator ze Zręczności. <br><br>Efekt mija, gdy cel założy zbroję lub gdy zakończysz czar w ramach swojej akcji.";"Zaklinacz"
"2";"CHMURA SZTYLETÓW";" Przywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (szklana drzazga)";" Koncentracja, do 1 minuty";" W powietrzu pojawia się chmura wirujących sztyletów, formująca sześcian o boku 1,5m, którego środek znajduje się w zasięgu czaru. Istota wchodząca w obszar działania czaru pierwszy raz w swojej turze, albo rozpoczynająca w nim turę otrzymuje 4k4 obrażeń ciętych.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz obrażenia o 2k4.";"Zaklinacz"
"2";"CIEMNOŚĆ";" Wywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, M (futro nietoperza oraz kropla smoły lub kawałek drewna)";" Koncentracja, do 10 minut";" Wskazujesz punkt w zasięgu czaru i wysnuwasz z niego magiczną ciemność, wypełniając nią kulistą przestrzeń o promieniu 4,5m. Ciemność rozprzestrzenia się wokół rogów i załomów. Istoty posiadające zdolność do widzenia w ciemności nie mogą jej przejrzeć, a niemagiczne światło, nie może jej rozświetlić.<br><br>Jeśli wskazany punkt znajduje się na przedmiocie trzymanym przez ciebie, albo takim, który nie jest trzymany lub noszony przez kogoś innego, to ciemność rozchodzi się z tego przedmiotu i przemieszcza wraz z nim. Całkowite zakrycie źródła nieprzezroczystym przedmiotem, np. miską lub hełmem, blokuje emanację ciemności. Jeśli obszar magicznej ciemności nałoży się na obszar magicznego światła stworzonego zaklęciem z kręgu 2., lub niższego, to zaklęcie światła zostaje rozproszone.";"Zaklinacz"
"2";"GŁUCHOTA/ŚLEPOTA";" Nekromancja, 2. krąg";" 1 akcja";" 9 metrów";" W";" 1 minuta";" Możesz pozbawić przeciwnika wzroku lub słuchu. Wybierasz istotę, którą widzisz w zasięgu czaru, musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia staje się oślepiona albo ogłuchła (zgodnie z twoim wyborem), na czas działania zaklęcia. Może ponawiać rzut obronny na Kondycję pod koniec każdy swoje tury, a gdy odniesie sukces, wyzwala się spod działania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć tym zaklęciem dodatkową istotę.";"Zaklinacz"
