"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Bard"
"1";"FALA GROMU";" Wywoływanie, 1. krąg";" 1 akcja";" Na siebie (sześcian o boku 4,5 metra)";" W, S";" Natychmiastowy";" Uwalniasz falę ogłuszającej mocy.<br><br>W przestrzeni o kształcie wychodzącego od ciebie sześcianu o boku 4,5m, wszystkie istoty muszą wykonać rzut obronny na Kondycję.<br><br>W przypadku niepowodzenia, otrzymują po 2k8 obrażeń od dźwięku i zostają odepchnięte o 3m od ciebie. Po udanym rzucie, otrzymują połowę obrażeń i nie zostają odepchnięte.<br><br>Ponadto, niezabezpieczone przedmioty znajdujące się w całości na obszarze działania czaru zostają automatycznie odepchnięte o 3 metry od ciebie, a zaklęcie wywołuje ogłaszający huk słyszalny z odległości 90 metrów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz obrażenia o 1k8.";"Bard"
"1";"FAŁSZYWE PODSZEPTY";" Uroki, 1. krąg";" 1 akcja";" 18 metrów";" W";" Natychmiastowy";" Śpiewasz szeptem nieharmonijną melodię, którą słyszy tylko jedna, wybrana przez ciebie istota znajdująca się w zasięgu czaru. Cel zaklęcia odczuwa potworny ból i musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, otrzymuje 3k6 obrażeń psychicznych i musi natychmiast zużyć swoją reakcję (jeśli ją ma), aby jak najbardziej oddalić<br>się od ciebie, przy czym nie wejdzie na zdecydowanie niebezpieczny teren, np. w ogień lub w przepaść. Przy udanym rzucie obronnym, cel otrzymuje połowę obrażeń i nie musi uciekać. Ogłuchłe istoty automatycznie zdają rzut obronny.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz obrażenia o 1k6.";"Bard"
"1";"HEROIZM";" Uroki, 1. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 minuty";" Twoje dotknięcie napełnia odwagą wybraną istotę. Do końca trwania czaru jest niepodatna na przerażenie, a na początku każdej swojej tury zyskuje tymczasowe PW równe twojemu modyfikatorowi z cechy bazowej. Po wygaśnięciu zaklęcia, znikają wszystkie pochodzące z niego tymczasowe PW.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1, możesz objąć nim dodatkową istotę.";"Bard"
"1";"IDENTYFIKACJA";" Wieszczenie, 1. krąg (rytuał)";" 1 minuta";" Dotyk";" W, S, M (perła o wartości co najmniej 100 sz i sowie pióro)";" Natychmiastowy";" Podczas rzucania czaru dotykasz przez minutę wybranego przedmiotu. Jeśli jest magiczny lub w jakikolwiek sposób nasączony magią, poznajesz jego właściwości i dowiadujesz się, jak z nich korzystać. Wykrywasz także, czy wymaga zestrojenia z właścicielem oraz ile ewentualnych ładunków posiada, Dowiadujesz się, czy i jakie czary oddziałują obecnie na przedmiot. Jeśli przedmiot został wykonany zaklęciem, poznasz jego nazwę. <br><br>Jeśli podczas rzucania zaklęcia dotykasz stworzenia, a nie przedmiotu, to wykrywasz, pod wpływem jakich czarów aktualnie się znajduje.";"Bard"
"1";"ILUZORYCZNY MANUSKRYPT";" Iluzje, 1. krąg (rytuał)";" 1 minuta";" Dotyk";" S, M (inkaust na bazie ołowiu o wartości co najmniej 10sz, zużywany przez zaklęcie)";" 10 dni";" Pisząc na pergaminie, papierze lub innym nadającym się do tego materiale, nasączasz go silną iluzją trwającą 10 dni. Dla ciebie i stworzeń wybranych podczas rzucania czaru, tekst będzie wyglądał normalnie - napisany twoją ręką<br>i zawierający zamierzoną wiadomość. W oczach innych osób będzie kompletnie nieczytelny, jakby został zapisany w niezrozumiałym dla nich, nieznanym lub magicznym języku. Jeśli wolisz, możesz zdecydować, że nieupoważnione osoby będą widzieć czytelny, ale całkowicie odmienny tekst, napisany cudzą ręką, w innym, znanym ci języku.<br><br>W przypadku rozproszenia czaru, znika zarówno iluzja, jak i oryginalny tekst.<br><br>Istota ze zdolnością prawdziwego widzenia jest w stanie odczytać ukrytą wiadomość.";"Bard"
"1";"KOJĄCE SŁOWO";" Wywoływanie, 1. krąg";" 1 akcja dodatkowa";" 18 metrów";" W";" Natychmiastowy";" Wybrana istota, którą widzisz w zasięgu czaru, odzyskuje punkty wytrzymałości w liczbie 1k4 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy twój krąg powyżej 1. liczba leczonych PW zwiększa się o 1k4.";"Bard"
"1";"LECZENIE RAN";" Wywoływanie, 1. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Istota, której dotykasz, odzyskuje punkty wytrzymałości w liczbie równej 1k8 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. przywracasz dodatkowe 1k8 punktów wytrzymałości.";"Bard"
"1";"MILCZĄCY OBRAZ";" Iluzje 1. krąg";" 1 akcja";" 18 metrów";" W, S, M (odrobina zwierzęcego runa)";" Koncentracja, do 10 minut";" Tworzysz iluzję obiektu, stworzenia lub innego widzialnego zjawiska, nieprzekraczającego wielkością sześcianu o boku 4,5m. Obraz pojawia się w miejscu wskazanym w zasięgu czaru. Jest czysto wizualny - nie może towarzyszyć mu dźwięk, zapach, ani inny efekt sensoryczny.<br><br>W ramach swojej akcji, możesz przenieść ten obraz do dowolnego miejsca w zasięgu czaru Zmieniając jego położenie, możesz wpłynąć na jego wygląd tak, by ruch wyglądał na jego własny. Przykładowo - możesz wywołać i przemieszczać obraz stworzenia, kształtując go tak, by wyglądał, jakby to stworzenie chodziło.<br><br>Fizyczna interakcja demaskuje iluzję, gdyż przenikają przez nią przedmioty. Istota przeznaczając akcję na zbadanie iluzji, może ją przejrzeć przy udanym teście Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Rozpoznawszy iluzję, istota może widzieć przez nią.";"Bard"
"1";"NIEWIDOCZNY SŁUGA";" Przywoływanie, 1. krąg (rytuał)";" 1 akcja";" 18 metrów";" W, S, M (kawałek sznurka i drewna)";" 1 godzina";" Przy pomocy tego zaklęcia tworzysz niewidzialną, bezmyślną i bezkształtną siłę o rozmiarze Średnim, która wykonuje dla ciebie proste zadania. Sługa zostaje przywołany w wolnym miejscu w zasięgu czaru. Ma KP 10, 1 PW, Siłę 2 i nie może atakować. jeśli jego wytrzymałość spadnie do 0, zaklęcie się kończy.<br><br>Raz na turę w ramach swojej akcji dodatkowej możesz telepatycznie rozkazać słudze przemieścić się na odległość do 4,5m i wykonać działanie na określonym obiekcie. Sługa potrafi wykonać proste czynności, jakie mogłyby być zadaniami ludzkiego służącego, np. przyniesie przedmiot, posprząta, dokona drobnych napraw, poskłada ubrania, rozpali ogień, poda posiłek lub naleje wina. Sługa wypełnia polecenie najlepiej jak potrafi, po czym czeka na następne.<br><br>Jeśli rozkażesz słudze wykonać zadanie, które wymagałoby od niego oddalenie się na więcej niż 18m od ciebie, to zaklęcie wygaśnie.";"Bard"
"1";"OHYDNY ŚMIECH TASHY";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (ciastko z kremem i pióro, którym machasz w powietrzu)";" Koncentracja, do 1 minuty";" Wybrana istota, którą widzisz w zasięgu czaru, postrzega wszystko jako niesamowicie śmieszne i jeśli nie oprze się zaklęciu, pada na ziemię ze śmiechu. Musi wykonać udany rzut obronny na Mądrość, albo przewróci się, stając się obezwładniona i do końca trwania czaru, nie będzie mogła się podnieść. Stworzenia o inteligencji 4 lub mniejszej są niepodatne na to zaklęcie.<br><br>Cel zaklęcia może ponowić rzut obronny na Mądrość pod koniec każdej swojej tury i za każdym razem, gdy otrzymuje obrażenia. Ma ułatwienie w tym rzucie, jeśli został wywołany obrażeniami. Po udanym rzucie obronnym, zaklęcie się kończy.";"Bard"
"1";"PIÓRKOSPADANIE";" Przemiany, 1. krąg";" 1 reakcja na upadek twój lub istoty w obrębie 18 metrów";" 18 metrów";" W, M (piórko lub trochę puchu)";" 1 minuta";" Wybierz do 5 spadających istot znajdujących się w zasięgu czaru. <br>W czasie działania czaru, ich szybkość spadania maleje do 18 m na rundę. Jeżeli któraś z nich w tym czasie wyląduje, to nie otrzyma obrażeń od upadku i może wylądować na nogach, a działanie zaklęcia dla niej się skończy. ";"Bard"
"1";"PRZEBRANIE SIEBIE";" Iluzje, 1. krąg";" 1 akcja";" Na siebie";" W, S";" 1 godzina";" Zmieniasz wygląd, włącznie z ubraniem, opancerzeniem, bronią itp.. Efekt trwa przez cały czas działania czaru, lub do chwili, w której go zakończysz w ramach swojej akcji. Możesz sprawić, że będziesz wyglądać na wyższego lub niższego o 30cm, szczupłego, grubego lub przeciętnej budowy ciała, więc przyjmując nowy wygląd, jesteś ograniczony do tego samego układu kończyn. Poza tym, zakres zmian zależy od ciebie.<br><br>Fizyczne sprawdzenie zdemaskuje twoją iluzję. Przykładowo - jeśli swój strój wzbogacisz o iluzoryczny kapelusz, inne przedmioty będą przez niego przenikać, a dotykająca go osoba nie poczuje pod palcami nic, albo wymaca twoją głowę i włosy. Jeśli użyjesz zaklęcia, by wydawać się szczuplejszym, niż jesteś, to sięgająca ku tobie dłoń zderzy się z tobą, choć będzie wyglądać, jakby właściciel zatrzymał ją<br>w powietrzu. <br><br>Aby odkryć twoje przebranie, należy użyć akcji w celu przyjrzenia się twojemu wyglądowi i zdać test Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom.";"Bard"
"1";"PRZYJACIEL ZWIERZĄT";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (odrobina jedzenia)";" 2 godziny";" Przy pomocy tego czaru możesz przekonać zwierzę, że nie stanowisz dla niego zagrożenia. Wybierz bestię, którą widzisz w zasięgu czaru, i która widzi i słyszy ciebie. Jeśli jej Inteligencja wynosi 4 lub więcej, zaklęcie się nie udaje. W przeciwnym wypadku, zwierzę musi wykonać udany rzut obronny na Mądrość, albo zostanie przez ciebie zauroczone na czas trwania czaru. Jeżeli ty lub ktoś z twoich sojuszników skrzywdzi to zwierzę, czar się skończy.<br><br>Na wyższych kręgach. Jeśli rzucasz tej czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć czarem dodatkowe zwierzę. ";"Bard"
"1";"ROZMAWIANIE ZE ZWIERZĘTAMI";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S";" Do 10 minut";" Na czas trwania czaru, zyskujesz zdolność rozumienia bestii i słownej komunikacji z nimi. Wiedza i świadomość wielu zwierząt jest ograniczona ich poziomem Inteligencji, ale w najgorszym przypadku, możesz od nich zdobyć informacje o pobliskich miejscach i potworach, włączając informacje o tym, co zwierzę postrzega obecnie lub czego doświadczyło poprzedniego dnia.<br><br>Za zgodą MP możesz nakłonić zwierzę do wyświadczenia ci niewielkiej przysługi.";"Bard"
"1";"ROZUMIENIE JĘZYKÓW";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S, M (szczypta sadzy i soli)";" 1 godzina";" Na czas działania czaru uzyskujesz zdolność dosłownego rozumienia mowy W każdym języku, jaki słyszysz. Rozumiesz także pismo, które widzisz, ale musisz W tym celu dotykać powierzchni, na której zostały zapisane słowa. Przeczytanie jednej strony tekstu zajmuje około 1 minuty. Przy pomocy tego zaklęcia nie rozszyfrujesz tajnych wiadomości W tekście ani glifu, takiego jak magiczna pieczęć, który nie jest częścią języka pisanego.";"Bard"
"1";"SZYBKONOGI";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (szczypta pyłu)";" 1 godzina";" Dotykasz wybranego stworzenia. Jego szybkość zwiększa się o 3 metry do czasu zakończenia czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy dodatkowy krąg możesz objąć czarem jedną dodatkową istotę.";"Bard"
"1";"UŚPIENIE";" Uroki, 1. krąg";" 1 akcja";" 27 metrów";" W, S, M (szczypta piasku, różane płatki lub świerszcz)";" 1 minuta";" Tym zaklęciem sprawiasz, że objęte nimi istoty pogrążają się w magicznym śnie. Rzuć 5k8, by określić łączną pulę punktów wytrzymałości stworzeń, które obejmie zaklęcie. Czar działa na istoty znajdujące się w obrębie 6m od wskazanego punktu w zasięgu, w kolejności rosnącej według aktualnie posiadanych PW (z pominięciem istot nieprzytomnych).<br><br>Poczynając od istoty mającej najmniej aktualnych PW, wszystkie kolejne objęte tym czarem padają nieprzytomne i śpią do momentu wygaśnięcia czaru, otrzymania obrażeń albo do chwili, w której ktoś przeznaczy swoją akcję na obudzenie ich potrząśnięciem lub uderzeniem. Odejmij od puli PW każdej objętej już istoty, przed przejściem do kolejnej. Aby czar zadziałał na kolejną istotę, jej aktualne PW muszą mieścić się w pozostałej jeszcze puli punktów.";"Bard"
"1";"WYKRYCIE MAGII";" Wieszczenie, 1. krąg rytuał";" 1 akcja";" Na siebie";" W, S, M";" Koncentracja, do 10 min";" Podczas trwania czaru, wyczuwasz magię w obrębie 9m od siebie. Gdy wykryjesz w ten sposób obecność magii w stworzeniu lub obiekcie, możesz wykorzystać swoją akcję, by zobaczyć jego nikłą aurę i dowiedzieć się, z jakiej szkoły pochodzi ta magia (jeśli przynależy do którejś ze szkół). <br><br>Wykrycie magii przenika przez większość barier, ale jest blokowane przez kamień o grubości 30 cm, metal o grubości 2,5cm, drewno lub ziemię o grubości 90 cm lub cienką warstwę ołowiu.";"Bard"
"1";"ZAUROCZENIE OSOBY";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S";" 1 godzina";" Próbujesz zauroczyć humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość, w którym ma ułatwienie, jeśli walczy z tobą, lub z którymś z twoich towarzyszy. W przypadku niepowodzenia zostaje przez ciebie zauroczony na czas trwania zaklęcia lub do momentu, w którym ty, lub któryś z twoich towarzyszy zadziałacie na jego szkodę. Zauroczony humanoid postrzega ciebie jako<br>przyjaznego znajomego. Gdy czar dobiega końca, cel ma świadomość, że został przez ciebie zauroczony.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć zauroczeniem dodatkową istotę. W momencie rzucania czaru, wszystkie cele muszą przebywać w obrębie 9m od siebie.";"Bard"
"1";"ZGUBA";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (kropla krwi)";" Koncentracja, do 1 minuty";" Maksymalnie trzy osoby, które widzisz w zasięgu czaru, muszą wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia, cel musi rzucić k4 i odjąć wynik od rezultatu testu za każdym razem, gdy atakuje lub wykonuje rzut obronny podczas trwania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć działaniem czaru dodatkową istotę.";"Bard"
"2";"CHMURA SZTYLETÓW";" Przywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (szklana drzazga)";" Koncentracja, do 1 minuty";" W powietrzu pojawia się chmura wirujących sztyletów, formująca sześcian o boku 1,5m, którego środek znajduje się w zasięgu czaru. Istota wchodząca w obszar działania czaru pierwszy raz w swojej turze, albo rozpoczynająca w nim turę otrzymuje 4k4 obrażeń ciętych.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz obrażenia o 2k4.";"Bard"
"2";"CISZA";" Iluzje, 2. krąg (rytuał)";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 10 minut";" Wokół punktu znajdującego się w zasięgu czaru tworzysz sferę o promieniu 6 metrów.<br><br>Podczas trwania zaklęcia, nie może w niej powstać, ani przejść przez nią żaden dźwięk. istoty i obiekty znajdujące się w całości w tym obszarze są niepodatne na obrażenia od dźwięku i traktowane są jako ogłuchłe. <br><br>W obszarze działania czaru nie da się rzucać zaklęć z komponentem werbalnym.";"Bard"
"2";"FASCYNACJA";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" 1 minuta";" Splatasz słowa wypowiedzi przyciągającej uwagę. Wybrane istoty znajdujące się w zasięgu czaru, które widzisz i które mogą cię usłyszeć, muszą wykonać rzut obronny na Mądrość.<br><br>Istoty odporne na zauroczenie odnoszą automatyczny sukces, a walczące z tobą lub twoimi sojusznikami, otrzymują ułatwienie. W przypadku niepowodzenia, cel otrzymuje utrudnienie w testach Mądrości (Percepcja) sprawdzających, czy dostrzega kogokolwiek poza tobą.<br><br>Efekt trwa do zakończenia czaru lub do momentu, gdy zafascynowana istota przestanie cię słyszeć. Czas kończy się przedwcześnie, jeśli zostaniesz obezwładniony, albo nie będziesz już mógł mówić.";"Bard"
"2";"GŁUCHOTA/ŚLEPOTA";" Nekromancja, 2. krąg";" 1 akcja";" 9 metrów";" W";" 1 minuta";" Możesz pozbawić przeciwnika wzroku lub słuchu. Wybierasz istotę, którą widzisz w zasięgu czaru, musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia staje się oślepiona albo ogłuchła (zgodnie z twoim wyborem), na czas działania zaklęcia. Może ponawiać rzut obronny na Kondycję pod koniec każdy swoje tury, a gdy odniesie sukces, wyzwala się spod działania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć tym zaklęciem dodatkową istotę.";"Bard"
"2";"KOŁATKA";" Przemiany, 2. krąg";" 1 akcja";" 18 metrów";" W";" Natychmiastowy";" Wybierz obiekt, który widzisz w zasięgu czaru. Mogą to być drzwi, skrzynia, kufer, kajdany, kłódka, albo inna rzecz, zawierająca zwyczajny lub magiczny środek uniemożliwiający dostęp.<br><br>To, co było zamknięte na zamek bądź zasuwę,<br>lub zablokowane, zostaje otwarte lub odblokowane. Jeśli daną rzecz zabezpiecza więcej zamków, otwiera się tylko jeden z nich.<br><br>Jeśli wymierzysz zaklęcie w cel chroniony magicznym zamkiem, zakłócasz jego działanie na 10 minut, podczas których możesz normalnie otwierać i zamykać chroniony obiekt. Gdy rzucasz to zaklęcie, rozlega się donośny dźwięk kołatki, dobiegający z otwieranego obiektu i roznoszący się na 90 metrów.";"Bard"
