"0";"NAPRAWA";" Przemiany, sztuczka";" 1 minuta";" Dotyk";" W, S, M (dwa magnetyty)";" Natychmiastowy";" Czar naprawia pojedyncze uszkodzenie lub rozdarcie dotkniętego przedmiotu, np.: pęknięte ogniwo łańcucha, złamany na pół klucz, rozdarty płaszcz czy cieknący bukłak. Naprawiasz usterki, nie pozostawiając po nich śladu, o ile żaden z wymiarów uszkodzenia lub rozdarcia nie przekracza 30cm.<br><br>Przy pomocy tego czaru, możesz fizycznie naprawić magiczny przedmiot lub konstrukt, jednak nie przywracasz mu magicznego działania.";"Kleryk"
"1";"WYKRYCIE DOBRA I ZŁA";" Wieszczenie, 1. krąg";" 1 akcja";" Na siebie";" W, S";" Koncentracja, do 10 minut";" Podczas działania czaru potrafisz określić, czy w obrębie 9m od ciebie przebywa czart, fey, niebianin, nieumarły, wynaturzenie lub żywiołak, i poznajesz jego lokalizację. Wiesz także, czy na tym obszarze jest miejsce, które zostało magicznie uświęcone lub splugawione.<br><br>Zaklęcie przenika przez większość barier, ale jest blokowane przez 30cm kamienia, 2,5cm metalu, cienką warstwę ołowiu lub 90cm drewna bądź ziemi.";"Kleryk"
"1";"WYKRYCIE MAGII";" Wieszczenie, 1. krąg rytuał";" 1 akcja";" Na siebie";" W, S, M";" Koncentracja, do 10 min";" Podczas trwania czaru, wyczuwasz magię w obrębie 9m od siebie. Gdy wykryjesz w ten sposób obecność magii w stworzeniu lub obiekcie, możesz wykorzystać swoją akcję, by zobaczyć jego nikłą aurę i dowiedzieć się, z jakiej szkoły pochodzi ta magia (jeśli przynależy do którejś ze szkół). <br><br>Wykrycie magii przenika przez większość barier, ale jest blokowane przez kamień o grubości 30 cm, metal o grubości 2,5cm, drewno lub ziemię o grubości 90 cm lub cienką warstwę ołowiu.";"Kleryk"
"1";"WYKRYCIE TRUCIZNY I CHOROBY";" Wieszczenie, 1. krąg";" 1 akcja";" Na siebie";" W, S, M (liść cisu)";" Koncentracja, do 10 minut";" Podczas trwania czaru wyczuwasz obecność i lokalizację trucizn, jadowitych istot i chorób w obrębie 9m od siebie. W każdym przypadku potrafisz rozpoznać rodzaj wykrytej trucizny, gatunek czy chorobę.<br><br>Zaklęcie przenika przez większość barier, ale jest blokowane przez 30cm kamienia, 2,5cm metalu, cienką warstwę ołowiu lub 90cm drewna bądź zieleni.";"Kleryk"
"1";"ZADAWANIE RAN";" Nekromancja, 1. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Wykonaj atak wręcz czarem przeciw istocie w twoim zasięgu. Przy trafieniu otrzymuje ona 3k10 obrażeń<br><br>Na wyższych poziomach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę o co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia o 1k10.";"Kleryk"
"1";"ZGUBA";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (kropla krwi)";" Koncentracja, do 1 minuty";" Maksymalnie trzy osoby, które widzisz w zasięgu czaru, muszą wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia, cel musi rzucić k4 i odjąć wynik od rezultatu testu za każdym razem, gdy atakuje lub wykonuje rzut obronny podczas trwania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć działaniem czaru dodatkową istotę.";"Kleryk"
"2";"BEZPIECZNY SPOCZYNEK";" Nekromancja, 2. krąg (rytuał)";" 1 akcja";" Dotyk";" W, S, M (szczypta soli i po jednym miedziaku położonym na każdym oku zmarłego, monety muszą tam pozostać przez cały czas trwania czaru)";" 10 dni";" Dotknąwszy zwłok lub innych szczątków zmarłej istoty, chronisz je przed rozkładem i zamianą w nieumarłego przez cały czas trwania czaru.<br><br>Zaklęciem tym wydłużasz również okres. w którym można wskrzesić zmarłego, gdyż czas jego trwania nie liczy się przy rozpatrywaniu wymogów wskrzeszenia i podobnych czarów.";"Kleryk"
"2";"CISZA";" Iluzje, 2. krąg (rytuał)";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 10 minut";" Wokół punktu znajdującego się w zasięgu czaru tworzysz sferę o promieniu 6 metrów.<br><br>Podczas trwania zaklęcia, nie może w niej powstać, ani przejść przez nią żaden dźwięk. istoty i obiekty znajdujące się w całości w tym obszarze są niepodatne na obrażenia od dźwięku i traktowane są jako ogłuchłe. <br><br>W obszarze działania czaru nie da się rzucać zaklęć z komponentem werbalnym.";"Kleryk"
"2";"DUCHOWA BROŃ";" Wywoływanie, 2. krąg";" 1 akcja dodatkowa";" 18 metrów";" W, S";" 1 minuta";" Tworzysz unoszącą się w powietrzu widmową broń, która istnieje przez czas działania czaru, lub do chwili, kiedy przywołasz kolejną. Rzuciwszy ten czar, możesz wykonać atak wręcz czarem przeciw istocie w odległości do 1,5 metra od duchowej broni. Jeśli atak trafi, cel otrzyma obrażenia w wysokości 1k8 + modyfikator z twojej cechy bazowej.<br><br>W ramach akcji dodatkowej w swojej turze możesz przemieścić duchową broń na odległość do 6 metrów i ponowić atak na cel znajdujący się nie dalej niż 1,5 metra od niej. Sam określasz formę broni. Klerycy bóstw mających swoje charakterystyczne bronie (np. Św Cuthberta słynącego z walki pałką, albo Thora walczącego młotem) sprawiają, że efekt zaklęcia przypomina odpowiednią broń.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każde dwa kręgi powyżej 2. zwiększasz obrażenia o 1k8.";"Kleryk"
"2";"GŁUCHOTA/ŚLEPOTA";" Nekromancja, 2. krąg";" 1 akcja";" 9 metrów";" W";" 1 minuta";" Możesz pozbawić przeciwnika wzroku lub słuchu. Wybierasz istotę, którą widzisz w zasięgu czaru, musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia staje się oślepiona albo ogłuchła (zgodnie z twoim wyborem), na czas działania zaklęcia. Może ponawiać rzut obronny na Kondycję pod koniec każdy swoje tury, a gdy odniesie sukces, wyzwala się spod działania czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć tym zaklęciem dodatkową istotę.";"Kleryk"
"2";"MNIEJSZE PRZWRÓCENIE";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Dotykasz stworzenia i uwalniasz je od jednej dolegającej mu choroby bądź kończysz jeden ze stanów, w którym się znajduje - głuchoty, oślepienia, paraliżu albo zatrucia.";"Kleryk"
"2";"OCHRONA PRZED TRUCIZNĄ";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" 1 godzina";" Dotykasz wybranego stworzenia. Jeśli było zatrute, neutralizujesz truciznę. Jeśli działających na stworzenie trucizn jest więcej, neutralizujesz jedną, którą potrafisz zidentyfikować, albo jedną ustaloną losowo.<br><br>Podczas trwania czaru ce| ma ułatwienie w rzutach obronnych przeciw truciznom oaz odporność na obrażenia od trucizny.";"Kleryk"
"2";"OCHRONNA WIĘŹ";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (para platynowych pierścieni o wartości co najmniej 50sz każdy, które ty i cel czaru musicie nosić przez czas jego trwania)";" 1 godzina";" To zaklęcie chroni dotkniętą przychylną istotę i tworzy magiczną więź między nią a tobą na czas trwania czaru. Póki istota przebywa w obrębie 18m od ciebie, ma modyfikator +1 do KP i rzutów obronnych oraz odporność na wszystkie rodzaje obrażeń. Ponadto za każdym razem, gdy otrzymuje obrażenia, ty otrzymujesz takie same. <br><br>Gdy twoje punkty wytrzymałości spadną do 0 albo gdy oddalicie się od siebie na więcej niż 18m, zaklęcie wygasa. Zakończy się również wtedy, kiedy rzucisz je ponownie na którąkolwiek z połączonych istot. Możesz także zakończyć działanie czaru w ramach swojej akcji.";"Kleryk"
"2";"ODNALEZIENIE OBIEKTU";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (rozwidlona gałązka)";" Koncentracja, do 10 minut";" Podajesz opis lub nazwę znanego ci obiektu. Wyczuwasz, w jakim kierunku się znajduje, o ile jest oddalony od ciebie nie więcej niż 300m. Jeśli jest w ruchu, dowiadujesz się, w jakim kierunku się przemieszcza.<br><br> Przy pomocy tego zaklęcia możesz odnaleźć konkretny znany ci obiekt, o ile widziałeś go przynajmniej raz z odległości do 9m. W innym wariancie możesz odszukać najbliższy obiekt określonego rodzaju (np. określoną część garderoby, biżuterię, mebel, narzędzie albo broń. <br><br>Czar nie zadziała, jeśli od poszukiwanej rzeczy (patrząc w linii<br>prostej), dzieli cię warstwa ołowiu o jakiejkolwiek grubości, nawet cienka blacha.";"Kleryk"
"2";"POMOC";" Odpychanie, 2. krąg";" 1 akcja";" 9 metrów";" W, S, M (niewielki pasek białego materiału)";" 8 godzin";" Zaklęcie zwiększa wytrzymałość i wytrwałość twoich sojuszników. Wybierz do trzech stworzeń znajdujących się w zasięgu. Ich maksymalne i aktualne punkty wytrzymałości zwiększą się o 5.<br><br>Na wyższych kręgach. Jeśli rzucasz to zaklęcie.<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. zwiększasz punkty wytrzymałości celu o dodatkowe 5.";"Kleryk"
"2";"STREFA PRAWDY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" 10 minut";" Tworzysz magiczną strefę chroniącą przed fałszem na obszarze w kształcie sfery o promieniu 4,5 metra, z punktem wyjścia wskazanym w zasięgu czaru. Do końca działania zaklęcia, stworzenie wchodzące w jego obszar po raz pierwszy w swojej turze lub rozpoczynające w nim swoją turę, musi wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia nie może umyślnie skłamać, póki pozostaje w obszarze działania zaklęcia. Zdajesz sobie sprawę, czy stworzenie zdało ten test. czy nie. <br><br>Objęta czarem istota jest świadoma działania tego zaklęcia i może unikać odpowiedzi na pytania, na które normalnie odpowiedziałaby kłamstwem. Może też udzielać wymijających odpowiedzi, jeśli mieszczą się w granicach prawdy.";"Kleryk"
"2";"UNIERUCHOMIENIE OSOBY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz humanoida, którego widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Pod koniec każdej swojej tury może ponowić rzut obronny<br>na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć czarem jednego dodatkowego humanoida. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9m od siebie.<br>";"Kleryk"
"2";"UZDRAWIAJĄCA MODLITWA";" Wywoływanie, 2. krąg";" 10 minut";" 9 metrów";" W";" Natychmiastowy";" Wybierasz do sześciu istot, które widzisz w zasięgu czaru. Odzyskują one punkty wytrzymałości w liczbie 2k8 + twój modyfikator z cechy bazowej.<br><br>Zaklęcie nie działa na nieumarłych i konstrukty";"Kleryk"
"2";"WIECZNY OGIEŃ";" Wywoływanie, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (rubinowy pył o wartości 50sz, zużywany przez zaklęcie)";" Do rozproszenia";" Z dotkniętego przez ciebie obiektu wyskakuje płomień o jasności porównywalnej do pochodni. Wygląda jak zwykły ogień, ale nie wydaje ciepa i nie zużywa tlenu. <br><br>Wieczny ogień można zakryć lub schować, ale nie można go ugasić ani zadusić.";"Kleryk"
"2";"WRÓŻBA";" Wieszczenie, 2. krąg (rytuał)";" 1 minuta";" Na siebie";" W, S, M (specjalnie oznaczone pałeczki, kości lub podobne drobiazgi o wartości co najmniej 25 sz)";" Natychmiastowy";" Rozrzucasz wysadzane klejnotami pałeczki, toczysz smocze kości. wykładasz układ zdobionych kart lub używasz innego wróżbiarskiego narzędzia, po czym otrzymujesz znak od bytu pochodzącego z innego świata, zdradzający ci efekt działań, które planujesz podjąć w ciągu następnych 30 minut. MP wybiera spośród możliwych znaków:<br>*Szczęście dla dobrej wróżby<br>*Nieszczęście dla złej wróżby<br>*Szczęście i nieszczęście dla jednocześnie dobrej i złej wróżby<br>*Nic dla wróżby niebędącej szczególnie złą ani dobrą.<br>Zaklęcie nie uwzględnia żadnych potencjalnych okoliczności mogących wpłynąć na wynik wróżby, takich jak rzucenie dodatkowych zaklęć bądź utrata lub uzyskanie towarzysza. Jeżeli przed zakończeniem długiego odpoczynku rzucisz to<br>zaklęcie więcej niż raz, za każdym kolejnym razem istnieje kumulatywne 25% ryzyka, że otrzymasz losową wróżbę. MP wykonuje len rzut w tajemnicy.";"Kleryk"
"2";"WYCISZENIE EMOCJI";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" Koncentracja, do 1 minuty";" Próbujesz stłumić silne emocje u grupy osób. Każdy humanoid znajdujący się w obszarze sfery o promieniu 6m wokół wybranego przez ciebie punktu w zasięgu czaru musi wykonać rzut obronny na Charyzmę, przy czym może<br>zdecydować się na porażkę w tym rzucie. W przypadku niepowodzenia wybierasz jeden z dwóch poniższych efektów.<br><br>*Możesz stłumić dowolny efekt powodujący zauroczenie lub przerażenie celu. Gdy twoje zaklęcie przestanie działać, wygaszony efekt powraca, o ile w międzyczasie sam nie dobiegł końca.<br>*Drugi efekt czaru sprawia , że jego cel staje się obojętny na wybrane istoty, wobec których był wrogi. Obojętność ta skończy się, gdy cel zaklęcia zostanie zaatakowany, skrzywdzony czarem lub gdy będzie świadkiem krzywdzenia jego przyjaciół. Gdy czar dobiega końca, uspokojona istota ponownie staje się wroga, chyba że MP zdecyduje inaczej.";"Kleryk"
"2";"WYKRYCIE PUŁAPEK";" Wieszczenie, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wyczuwasz obecność wszystkich pułapek znajdujących się na linii wzroku w zasięgu czaru.<br><br>Na potrzeby tego zaklęcia, pułapką jest wszystko, co mogłoby wywołać nagły lub niespodziewany efekt odbierany jako szkodliwy lub niepożądany i zostało przygotowane specjalnie w tym celu. Dlatego przy pomocy tego czaru możesz wykryć obszar objęty alarmem bądź glifem strażniczym, albo mechaniczną zapadnię, ale nie naturalnie występujące słabe punkty, niestabilny sufit czy niewidoczne zapadlisko.<br><br>Zaklęcie jedynie ujawnia obecność pułapek - nie poznajesz położenia każdej pułapki, ale dowiadujesz się o ogólnej naturze stwarzanego przez nią zagrożenia.";"Kleryk"
"2";"WZMOCNIENIE CECHY";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (zwierzęce pióro lub futro)";" Koncentracja, do 1 godziny";" Wybierz jedną spośród dostępnych możliwości, istota zostanie objęta jej efektem na czas działania czaru. *Bycza siła. Cel ma ułatwienie w testach Siły, a jego udźwig ulega podwojeniu.<br>*Kocia zwinność. Cel ma ułatwienie w testach Zręczności oraz nie otrzymuje obrażeń od upadków z wysokości do 6m, o ile nie jest obezwładniony. <br>*Lisia przebiegłość. Cel ma ułatwienie w testach<br>Inteligencji. <br>*Orli majestat. Cel ma ułatwienie w testach Charyzmy. <br>*Niedźwiedzia wytrzymałość. Cel ma ułatwienie<br>w testach Kondycji i otrzymuje 2k6 tymczasowych PW, które znikają po zakończeniu działania czaru. <br>*Sowia mądrość. Cel ma ułatwienie w testach Mądrości. <br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, zakażcie krąg powyżej 2. możesz objąć czarem dodatkową istotę.";"Kleryk"
"3";"ANIMOWANIE ZMARŁEGO";" Nekromancja, 3. krąg";" 1 minuta";" 3 metry";" W, S, M (kropla krwi, fragment ciała i szczypta kostnego pyłu)";" Natychmiastowy";" Wybierz stertę kości, albo zwłoki Średniego lub Małego humanoida w zasięgu czaru. Z kości powstanie szkielet, a ze zwłok zombi (MP ma ich statystyki). W każdej swojej turze, możesz telepatycznie wydawać polecenia w ramach akcji dodatkowej, o ile znajduje się on nie dalej niż 18m. (Jeśli kontrolujesz grupę istot, polecenie kierujesz do jednej z nich, bądź do całej grupy). Decydujesz o kierunku ruchu i akcji podejmowanej przez sługę w jego następnej turze, albo wydajesz ogólne polecenie. Gdy nie wydasz rozkazu, sługa ograniczy się do obrony własnej. Kontrolujesz stworzoną istotę przez 24h. Po tym czasie przestaje ona wykonywać twoje polecenia. Aby zachować kontrolę przez następne 24h, musisz ponownie rzucić to zaklęcie na tego nieumarłego przed upływem 24h...<br><br>Podręcznik gracza str.212";"Kleryk"
"3";"DUCHOWI STRAŻNICY";" Przywoływanie, 3. krąg";" 1 akcja";" Na siebie (okrąg o promieniu 4,5 metra)";" W, S, M (święty symbol)";" Koncentracja, do 10 minut";" Przyzywasz duchy, aby cię strzegły. W trakcie trwania czaru, przemykają wokół ciebie w promieniu 4,5m. Jeśli masz charakter dobry albo neutralny, ich widmowe postacie przypominają anioły lub fey, a jeśli zły - wyglądają jak czarty. Rzucając ten czar, możesz wskazać dowolną liczbę widocznych istot, które nie zostaną nim objęte. Istoty, na które działa zaklęcie, tracą na jego obszarze połowę szybkości. Gdy istota wejdzie w obszar czaru po raz pierwszy w swojej turze, albo ją tam rozpocznie, musi wykonać rzut<br>obronny na Mądrość. W przypadku niepowodzenia, otrzymuje 3k8 obrażeń od światłości (jeśli masz dobry, albo neutralny charakter), albo 3k8 obrażeń nekrotycznych (jeśli masz zły charakter). Udany rzut zmniejsza obrażenia o połowę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4, kręgu, za każdy krąg powyżej 3., zwiększasz obrażenia o 1k8.";"Kleryk"
