"0";"CIERNIOWY BICZ";" Przemiany, sztuczka";" 1 akcja";" 9 metrów";" W,S,M (łodyga kolczastej rośliny)";" Natychmiastowy";" Tworzysz długi, podobny do cierniowego pnącza bicz, który na twoje polecenie uderza wybraną istotę znajdującą się w zasięgu. Wykonaj przeciw niej test ataku wręcz czarem.Przy trafieniu, zadajesz 1k6 obrażeń kłutych, a jeśli jest to istota Duża lub mniejsza, przyciągasz ją do siebie o maksymalnie 3m.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k6, gdy osiągniesz 5. poziom (do 2k6), 11. poziom (do 3k6) i 17. poziom (do 4k6).";"Druid"
"1";"OCZYSZCZENIE JADŁA I NAPOJU";" Przemiany, 1. krąg";" 1 akcja";" 3 metry";" W, S";" Natychmiastowy";" Wybierasz punkt w zasięgu czaru. Niemagiczne pożywienie i napoje w obrębie sfery o promieniu 1,5m od niego zostają oczyszczone i uwolnione od trucizn i chorób.";"Druid"
"1";"OPLĄTANIE";" Przywoływanie, 1. krąg";" 1 akcja";" 27 metrów";" W, S";" Koncentracja, do 1 minuty";" Chwytne pnącza z podłoża na obszarze kwadratu o boku 6m, ze środkiem we wskazanym punkcie w zasięgu czaru. Rośliny zamieniają ten obszar w trudny teren na czas trwania czaru.<br><br>Istoty znajdujące się na obszarze działania czaru muszą wykonać rzut obronny na Siłę. W przypadku niepowodzenia, zostaną unieruchomione przez oplatające je rośliny na czas trwania zaklęcia. Unieruchomiona istota może w ramach swojej akcji wykonać test Siły z ST rzutu obronnego przeciw twoim czarom. Jeśli jej się uda, uwalnia się.<br><br>Gdy zaklęcie wygasa, przywołane rośliny więdną.";"Druid"
"1";"PRZYJACIEL ZWIERZĄT";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (odrobina jedzenia)";" 2 godziny";" Przy pomocy tego czaru możesz przekonać zwierzę, że nie stanowisz dla niego zagrożenia. Wybierz bestię, którą widzisz w zasięgu czaru, i która widzi i słyszy ciebie. Jeśli jej Inteligencja wynosi 4 lub więcej, zaklęcie się nie udaje. W przeciwnym wypadku, zwierzę musi wykonać udany rzut obronny na Mądrość, albo zostanie przez ciebie zauroczone na czas trwania czaru. Jeżeli ty lub ktoś z twoich sojuszników skrzywdzi to zwierzę, czar się skończy.<br><br>Na wyższych kręgach. Jeśli rzucasz tej czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć czarem dodatkowe zwierzę. ";"Druid"
"1";"ROZMAWIANIE ZE ZWIERZĘTAMI";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S";" Do 10 minut";" Na czas trwania czaru, zyskujesz zdolność rozumienia bestii i słownej komunikacji z nimi. Wiedza i świadomość wielu zwierząt jest ograniczona ich poziomem Inteligencji, ale w najgorszym przypadku, możesz od nich zdobyć informacje o pobliskich miejscach i potworach, włączając informacje o tym, co zwierzę postrzega obecnie lub czego doświadczyło poprzedniego dnia.<br><br>Za zgodą MP możesz nakłonić zwierzę do wyświadczenia ci niewielkiej przysługi.";"Druid"
"1";"SKOK";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (tylna noga pasikonika)";" 1 minuta";" Dotykasz wybranej istoty. Odległość jej skoku zostaje potrojona na czas działania czaru.";"Druid"
"1";"STWORZENIE LUB ZNISZCZENIE WODY";" Przemiany, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (kropla wody do tworzenia wody lub kilka ziaren piasku do jej zniszczenia)";" Natychmiastowy";" *Stworzenie wody. Tworzysz do 40l czystej wody w otwartym pojemniku w zasięgu czaru. Alternatywnie możesz stworzyć ją jako opad deszczu na obszarze w kształcie sześcianu o boku 9m w zasięgu czaru. Opad ten gasi nieosłonięte płomienie.<br><br>*Zniszczenie wody. Niszczysz do 40l wody w otwartym pojemniku w zasięgu czaru. Możesz zamiast tego usunąć mgłę na obszarze w kształcie sześcianu o boku 9m w zasięgu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. tworzysz lub niszczysz dodatkowo 40 litrów wody, albo zwiększasz bok sześcianu o 1,5m.";"Druid"
"1";"SZYBKONOGI";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (szczypta pyłu)";" 1 godzina";" Dotykasz wybranego stworzenia. Jego szybkość zwiększa się o 3 metry do czasu zakończenia czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy dodatkowy krąg możesz objąć czarem jedną dodatkową istotę.";"Druid"
"1";"WYKRYCIE MAGII";" Wieszczenie, 1. krąg rytuał";" 1 akcja";" Na siebie";" W, S, M";" Koncentracja, do 10 min";" Podczas trwania czaru, wyczuwasz magię w obrębie 9m od siebie. Gdy wykryjesz w ten sposób obecność magii w stworzeniu lub obiekcie, możesz wykorzystać swoją akcję, by zobaczyć jego nikłą aurę i dowiedzieć się, z jakiej szkoły pochodzi ta magia (jeśli przynależy do którejś ze szkół). <br><br>Wykrycie magii przenika przez większość barier, ale jest blokowane przez kamień o grubości 30 cm, metal o grubości 2,5cm, drewno lub ziemię o grubości 90 cm lub cienką warstwę ołowiu.";"Druid"
"1";"WYKRYCIE TRUCIZNY I CHOROBY";" Wieszczenie, 1. krąg";" 1 akcja";" Na siebie";" W, S, M (liść cisu)";" Koncentracja, do 10 minut";" Podczas trwania czaru wyczuwasz obecność i lokalizację trucizn, jadowitych istot i chorób w obrębie 9m od siebie. W każdym przypadku potrafisz rozpoznać rodzaj wykrytej trucizny, gatunek czy chorobę.<br><br>Zaklęcie przenika przez większość barier, ale jest blokowane przez 30cm kamienia, 2,5cm metalu, cienką warstwę ołowiu lub 90cm drewna bądź zieleni.";"Druid"
"1";"ZAUROCZENIE OSOBY";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S";" 1 godzina";" Próbujesz zauroczyć humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość, w którym ma ułatwienie, jeśli walczy z tobą, lub z którymś z twoich towarzyszy. W przypadku niepowodzenia zostaje przez ciebie zauroczony na czas trwania zaklęcia lub do momentu, w którym ty, lub któryś z twoich towarzyszy zadziałacie na jego szkodę. Zauroczony humanoid postrzega ciebie jako<br>przyjaznego znajomego. Gdy czar dobiega końca, cel ma świadomość, że został przez ciebie zauroczony.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć zauroczeniem dodatkową istotę. W momencie rzucania czaru, wszystkie cele muszą przebywać w obrębie 9m od siebie.";"Druid"
"2";"KOROWA SKÓRA";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (garść dębowej kory)";" Koncentracja, do 1 godziny";" Dotykasz przychylnej istoty.<br><br>Do końca trwania czaru, jej skóra nabiera wyglądu szorstkiej kory, a jej KP nie może być mniejsze od 16, niezależnie od tego, jaki typ pancerza nosi.";"Druid"
"2";"KSIĘŻYCOWY PROMIEŃ";" Wywoływanie, 2. krąg";" 1 akcja";" 36 metrów";" W, S, M (kilka nasion rośliny miesięcznikowatej i kawałek skalenia tęczowego)";" Koncentracja, do 1 minuty";" Sprowadzasz na ziemię snop srebrzystego, bladego światła, który o kształcie walca o promieniu 1,5 metra i wysokości 12 metrów, wychodzącego z punktu w zasięgu czaru. Przez cały czas trwania zaklęcia, wspomniany walec wypełniony jest słabym światłem. Gdy jakieś stworzenie wejdzie jego obszar pierwszy raz w swojej turze albo rozpocznie w nim swoją turę, zostaje spowite widmowymi płomieniami, powodującymi przeszywający ból i musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia, otrzymuje 2k10 obrażeń od światłości. Udany rzut zmniejsza obrażenia o połowę. Zmiennokształtni wykonują rzut obronny z utrudnieniem, a gdy im się on nie powiedzie, zostaną przywróceni do swojej naturalnej postaci i nie mogą przyjąć innej, dopóki nie opuszczą obszaru magicznego światła, Po rzuceniu tego czaru, w każdej swojej turze, możesz w ramach swojej akcji przemieścić snop światła do 18 metrów w dowolną stronę. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 3, kręgu, za każdy krąg powyżej 2., zwiększasz obrażenia o 1k10.";"Druid"
"2";"MNIEJSZE PRZWRÓCENIE";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Dotykasz stworzenia i uwalniasz je od jednej dolegającej mu choroby bądź kończysz jeden ze stanów, w którym się znajduje - głuchoty, oślepienia, paraliżu albo zatrucia.";"Druid"
"2";"OCHRONA PRZED TRUCIZNĄ";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" 1 godzina";" Dotykasz wybranego stworzenia. Jeśli było zatrute, neutralizujesz truciznę. Jeśli działających na stworzenie trucizn jest więcej, neutralizujesz jedną, którą potrafisz zidentyfikować, albo jedną ustaloną losowo.<br><br>Podczas trwania czaru ce| ma ułatwienie w rzutach obronnych przeciw truciznom oaz odporność na obrażenia od trucizny.";"Druid"
"2";"ODNALEZIENIE OBIEKTU";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (rozwidlona gałązka)";" Koncentracja, do 10 minut";" Podajesz opis lub nazwę znanego ci obiektu. Wyczuwasz, w jakim kierunku się znajduje, o ile jest oddalony od ciebie nie więcej niż 300m. Jeśli jest w ruchu, dowiadujesz się, w jakim kierunku się przemieszcza.<br><br> Przy pomocy tego zaklęcia możesz odnaleźć konkretny znany ci obiekt, o ile widziałeś go przynajmniej raz z odległości do 9m. W innym wariancie możesz odszukać najbliższy obiekt określonego rodzaju (np. określoną część garderoby, biżuterię, mebel, narzędzie albo broń. <br><br>Czar nie zadziała, jeśli od poszukiwanej rzeczy (patrząc w linii<br>prostej), dzieli cię warstwa ołowiu o jakiejkolwiek grubości, nawet cienka blacha.";"Druid"
"2";"ODNALEZIENIE ZWIERZĄT LUB ROŚLIN";" Wieszczenie, 2. krąg (rytuał)";" 1 akcja";" Na siebie";" W,S,M (odrobina sierści psa gończego)";" Natychmiastowy";" Podajesz opis lub nazwę gatunku zwierzęcia lub rośliny. Słuchając w skupieniu głosu otaczającej cię natury, poznajesz kierunek i odległość dzielącą cię od najbliższego przedstawiciela danego gatunku w promieniu 7,5 km, o ile występują na tym obszarze.";"Druid"
"2";"PŁOMIENNA KULA";" Przywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (trochę łoju, szczypta siarki i pył żelazny)";" Koncentracja, do 1 minuty";" W wolnym miejscu wskazanym w zasięgu czaru, pojawia się kula o promieniu 1,5 metra i pozostaje tam przez czas trwania czaru. Istota kończąca swoją turę w obrębie 1,5 metra od niej, wykonuje rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 2k6 obrażeń od ognia. Udany rzut zmniejsza obrażenia o połowę. W ramach akcji dodatkowej, możesz przemieścić kulę na odległość do 9 metrów. Jeżeli staranujesz w ten sposób jakieś stworzenie, to musi ono wykonać rzut obronny przeciw obrażeniom zadawanym przez kulę, a ta zaprzestaje ruchu w tej turze.  Podczas przemieszczania kuli, możesz przekraczać nią przeszkody do 1,5 metra wysokości, oraz przeskakiwać nią doły czy przepaście nie szersze niż 3 metry. Kula podpala<br>palne obiekty, które nie są przez nikogo trzymane ani noszone. Świeci jasnym światłem na odległość 6 metrów i słabym na kolejne 6 metrów.";"Druid"
"2";"PŁOMIENNE OSTRZE";" Wywoływanie, 2. krąg";" 1 akcja dodatkowa";" Na siebie";" W,S,M (liść sumaka)";" Koncentracja, do 10 minut";" Wywołujesz w swojej wolnej ręce ogniste ostrze. Rozmiarem i kształtem przypomina ono sejmitar i znika wraz z końcem trwania czaru. Zniknie także, jeśli wypuścisz je z dłoni, ale możesz wówczas przywołać je ponownie w ramach akcji<br>dodatkowej. <br><br>Możesz użyć swojej akcji, by wykonać płomiennym ostrzem atak wręcz czarem. Przy trafieniu broń zadaje 3k6 obrażeń od ognia.<br><br>Ostrze świeci jasnym światłem w promieniu 3 metrów i słabym w promieniu dalszych 3 metrów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każde dwa kręgi powyżej 2., zwiększasz zadawane obrażenia o 1k6.";"Druid"
"2";"PORYW WIATRU";" Wywoływanie, 2. krąg";" 1 akcja";" Na siebie (prosta o długości 18 metrów)";" W, S, M (nasiono ze strąka)";" Koncentracja, do 1 minuty";" Wywołujesz podmuch silnego wiatru, który wieje od ciebie w wybranym kierunku, tworząc prostą o długości 18 metrów i szerokości 3 metrów. Wiatr wieje przez cały czas działania czaru. Każda istota rozpoczynająca swoją turę w jego obszarze, musi wykonać rzut obronny na Siłę, W przypadku niepowodzenia, zostanie odepchnięta od ciebie o 4,5 metra zgodnie z kierunkiem wiatru. Istoty znajdujące się w obszarze czaru i próbujące się do ciebie zbliżyć, muszą zużyć dodatkowy metr szybkości za każdy przebyty metr. Wiatr rozwiewa gaz i opary, a także gasi świece, pochodnie i podobne niechronione płomienie na swoim obszarze. Sprawia, że chroniony płomień (na przykład latarni) pełga niespokojnie i ma 50% szansy na to, że zgaśnie. Podczas trwania czaru w ramach akcji dodatkowej w swojej turze, możesz zmienić kierunek, w którym wieje od ciebie wiatr.";"Druid"
"2";"PRZEJŚCIE BEZ ŚLADU";" Odpychanie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (popiół ze spalonego liścia jemioły i świerkowej gałązki)";" Koncentracja, do 1 godziny";" Roztaczasz wokół siebie zasłonę cierni i ciszę, które skrywają ciebie i twoich towarzyszy.<br><br>Przez czas działania czaru, każda wybrana przez ciebie istota, znajdująca się do 9m od ciebie (łącznie z tobą), otrzymuje modyfikator +10 w testach Zręczności (Skradanie się) i nie może zostać wytropiona niemagicznymi sposobami. Istota skryta zaklęciem, nie pozostawia tropów ani innych śladów swojego przejścia.";"Druid"
"2";"ROZGRZANIE METALU";" Przemiany, 2. krąg";" 1 akcja";" 18 metrów";" W,S,M (kawałek żelaza, płomień)";" Koncentracja, do 1 minuty";" Wybierz wytworzony z metalu przedmiot (np. broń ciężką albo ciężki lub średni metalowy pancerz), który widzisz w zasięgu czaru. Sprawiasz, że nagrzewa się on do czerwoności. Kiedy rzucasz to zaklęcie, każda istota w bezpośrednio fizycznym kontakcie z tym przedmiotem otrzymuje 2k8 obrażeń od ognia. W trakcie działania czaru, możesz w ramach swojej akcji dodatkowej w swojej turze, ponawiać te obrażenia. <br>Jeśli jakaś istota trzyma lub nosi zaczarowany przedmiot i otrzymuje z tego powodu obrażenia, to musi wykonać udany rzut obronny na Kondycję. W przypadku niepowodzenia, upuszcza ten przedmiot, o ile to możliwe. Jeżeli tego nie zrobi, ma do początku twojej następnej tury utrudnienia  w testach ataku i testach cech.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz zadawane obrażenia o 1k8.";"Druid"
"2";"UNIERUCHOMIENIE OSOBY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz humanoida, którego widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Pod koniec każdej swojej tury może ponowić rzut obronny<br>na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć czarem jednego dodatkowego humanoida. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9m od siebie.<br>";"Druid"
"2";"WIDZENIE W CIEMNOŚCI";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (agat lub szczypta suszonej marchwi)";" 8 godzin";" Dotykasz przychylnej istoty i zapewniasz jej możliwość widzenia w mroku. W czasie trwania czaru, ma ona zdolność widzenia w ciemności na odległość 18m.";"Druid"
"2";"WYKRYCIE PUŁAPEK";" Wieszczenie, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wyczuwasz obecność wszystkich pułapek znajdujących się na linii wzroku w zasięgu czaru.<br><br>Na potrzeby tego zaklęcia, pułapką jest wszystko, co mogłoby wywołać nagły lub niespodziewany efekt odbierany jako szkodliwy lub niepożądany i zostało przygotowane specjalnie w tym celu. Dlatego przy pomocy tego czaru możesz wykryć obszar objęty alarmem bądź glifem strażniczym, albo mechaniczną zapadnię, ale nie naturalnie występujące słabe punkty, niestabilny sufit czy niewidoczne zapadlisko.<br><br>Zaklęcie jedynie ujawnia obecność pułapek - nie poznajesz położenia każdej pułapki, ale dowiadujesz się o ogólnej naturze stwarzanego przez nią zagrożenia.";"Druid"
"2";"WZMOCNIENIE CECHY";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (zwierzęce pióro lub futro)";" Koncentracja, do 1 godziny";" Wybierz jedną spośród dostępnych możliwości, istota zostanie objęta jej efektem na czas działania czaru. *Bycza siła. Cel ma ułatwienie w testach Siły, a jego udźwig ulega podwojeniu.<br>*Kocia zwinność. Cel ma ułatwienie w testach Zręczności oraz nie otrzymuje obrażeń od upadków z wysokości do 6m, o ile nie jest obezwładniony. <br>*Lisia przebiegłość. Cel ma ułatwienie w testach<br>Inteligencji. <br>*Orli majestat. Cel ma ułatwienie w testach Charyzmy. <br>*Niedźwiedzia wytrzymałość. Cel ma ułatwienie<br>w testach Kondycji i otrzymuje 2k6 tymczasowych PW, które znikają po zakończeniu działania czaru. <br>*Sowia mądrość. Cel ma ułatwienie w testach Mądrości. <br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, zakażcie krąg powyżej 2. możesz objąć czarem dodatkową istotę.";"Druid"
"2";"WZROST KOLCÓW";" Przemiany, 2. krąg";" 1 akcja";" 45 metrów";" W, S, M (siedem ostrych cierni lub małych, zaostrzonych gałązek)";" Koncentracja, do 10 minut";" Ziemia w promieniu 6m wokół punktu wskazanego w zasięgu czaru, pokrywa się twardymi kolcami i cierniami. Obszar objęty czarem, na ten czas jego trwania, staje się trudnym terenem.<br><br>Poruszające się po niej istoty otrzymują 2k4 obrażeń kłutych za każde 1,5m przebytej odległości.<br><br>Przemiana ziemi jest zakamuflowana tak, by jej powierzchnia wyglądała naturalnie. Wszystkie stworzenia, które nie widzą obszaru w momencie rzucania czaru, przed wkroczeniem do niego muszą wykonać udany test Mądrości (Percepcja) o ST rzutu obronnego przeciw twoim czarom, by rozpoznać teren jako niebezpieczny.";"Druid"
