"1";"ALARM";"Odpychanie, 1. krąg (rytuał) ";"1 minuta ";" 9 metrów";" W,S,M (mały dzwoneczek i kawałek cienkiego, srebrnego drutu)";" 8 godzin";" Nastawiasz alarm przeciw intruzom. Wybierz znajdujące się w zasięgu drzwi, okno lub obszar nie większy niż 6-metrowy sześcian. Przez cały czas trwania, czar będzie cię ostrzegać, kiedy Mała lub większa istota dotknie strzeżonego obszaru, lub do niego wejdzie. Rzucając czar, możesz określić istoty, które nie są intruzami. Wtedy decydujesz również, czy alarm jest dźwiękowy, czy ostrzega cię tylko mentalnie.<br><br>Alarm mentalny wywoła wrażenie dźwięku w twojej głowie, o ile pozostaniesz w obrębie 1,5 km od strzeżonego obszaru. Obudzi cię, jeśli będziesz spać.<br><br>Alarm dźwiękowy, przez 10s wytwarza dźwięk dzwonka rozchodzący się na odległość 18m.";"Łowca"
"1";"WYKRYCIE TRUCIZNY I CHOROBY";" Wieszczenie, 1. krąg";" 1 akcja";" Na siebie";" W, S, M (liść cisu)";" Koncentracja, do 10 minut";" Podczas trwania czaru wyczuwasz obecność i lokalizację trucizn, jadowitych istot i chorób w obrębie 9m od siebie. W każdym przypadku potrafisz rozpoznać rodzaj wykrytej trucizny, gatunek czy chorobę.<br><br>Zaklęcie przenika przez większość barier, ale jest blokowane przez 30cm kamienia, 2,5cm metalu, cienką warstwę ołowiu lub 90cm drewna bądź zieleni.";"Łowca"
"1";"ZNAK ŁOWCY";" Wieszczenie, 1. krąg";" 1 akcja dodatkowa";" 27 metrów";" W";" Koncentracja, do 1 godziny";" Wybierasz istotę, którą widzisz w zasięgu czaru, i magicznie oznaczyć ją jako swoją zdobycz. Podczas trwania czaru, przy każdym trafieniu bronią, zadajesz jej dodatkowo 1k6 obrażeń,<br>a ponadto masz ułatwienie w testach Mądrości (Percepcji) i Mądrości (Sztuka przetrwania), gdy chcesz ją znaleźć. Jeżeli przed zakończeniem działania czaru , PW celu spadną do 0, możesz w ramach akcji dodatkowej w swojej następnej turze, przenieść to oznaczenie na następną istotę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę 3. lub 4. kręgu, możesz<br>koncentrować się na nim do 8h. Jeśli wykorzystujesz komórkę co najmniej 5. kręgu, możesz utrzymać koncentrację do 24h.";"Łowca"
"2";"CISZA";" Iluzje, 2. krąg (rytuał)";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 10 minut";" Wokół punktu znajdującego się w zasięgu czaru tworzysz sferę o promieniu 6 metrów.<br><br>Podczas trwania zaklęcia, nie może w niej powstać, ani przejść przez nią żaden dźwięk. istoty i obiekty znajdujące się w całości w tym obszarze są niepodatne na obrażenia od dźwięku i traktowane są jako ogłuchłe. <br><br>W obszarze działania czaru nie da się rzucać zaklęć z komponentem werbalnym.";"Łowca"
"1";"KORDON STRZAŁ";" Przemiany, 2. krąg";" 1 akcja";" 1,5 metra";" W,S,M (co najmniej 4 strzały lub bełty)";" 8 godzin";" Rozmieszczasz na ziemi, w zasięgu czaru, 4 sztuki niemagicznej amunicji (strzały lub bełty) i wiążesz je magią, by chroniły obejmowany obszar. Póki czar trwa, każde stworzenie poza tobą, wchodzące po raz pierwszy w swojej turze, albo kończące swoją turę w obrębie 9m od amunicji powoduje, że strzela w nie jeden z pocisków. Cel musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 1k6 obrażeń kłutych.<br><br>Wystrzelony pocisk zostaje zniszczony, a gdy zużyją się wszystkie, czar dobiega końca.<br><br>Podczas rzucania zaklęcia możesz określić, które istoty nie uruchomią pułapki.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., możesz dodać 2 sztuki amunicji.";"Łowca"
"2";"KOROWA SKÓRA";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (garść dębowej kory)";" Koncentracja, do 1 godziny";" Dotykasz przychylnej istoty.<br><br>Do końca trwania czaru, jej skóra nabiera wyglądu szorstkiej kory, a jej KP nie może być mniejsze od 16, niezależnie od tego, jaki typ pancerza nosi.";"Łowca"
"2";"MNIEJSZE PRZWRÓCENIE";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Dotykasz stworzenia i uwalniasz je od jednej dolegającej mu choroby bądź kończysz jeden ze stanów, w którym się znajduje - głuchoty, oślepienia, paraliżu albo zatrucia.";"Łowca"
"2";"OCHRONA PRZED TRUCIZNĄ";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" 1 godzina";" Dotykasz wybranego stworzenia. Jeśli było zatrute, neutralizujesz truciznę. Jeśli działających na stworzenie trucizn jest więcej, neutralizujesz jedną, którą potrafisz zidentyfikować, albo jedną ustaloną losowo.<br><br>Podczas trwania czaru ce| ma ułatwienie w rzutach obronnych przeciw truciznom oaz odporność na obrażenia od trucizny.";"Łowca"
"2";"ODNALEZIENIE OBIEKTU";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (rozwidlona gałązka)";" Koncentracja, do 10 minut";" Podajesz opis lub nazwę znanego ci obiektu. Wyczuwasz, w jakim kierunku się znajduje, o ile jest oddalony od ciebie nie więcej niż 300m. Jeśli jest w ruchu, dowiadujesz się, w jakim kierunku się przemieszcza.<br><br> Przy pomocy tego zaklęcia możesz odnaleźć konkretny znany ci obiekt, o ile widziałeś go przynajmniej raz z odległości do 9m. W innym wariancie możesz odszukać najbliższy obiekt określonego rodzaju (np. określoną część garderoby, biżuterię, mebel, narzędzie albo broń. <br><br>Czar nie zadziała, jeśli od poszukiwanej rzeczy (patrząc w linii<br>prostej), dzieli cię warstwa ołowiu o jakiejkolwiek grubości, nawet cienka blacha.";"Łowca"
"2";"ODNALEZIENIE ZWIERZĄT LUB ROŚLIN";" Wieszczenie, 2. krąg (rytuał)";" 1 akcja";" Na siebie";" W,S,M (odrobina sierści psa gończego)";" Natychmiastowy";" Podajesz opis lub nazwę gatunku zwierzęcia lub rośliny. Słuchając w skupieniu głosu otaczającej cię natury, poznajesz kierunek i odległość dzielącą cię od najbliższego przedstawiciela danego gatunku w promieniu 7,5 km, o ile występują na tym obszarze.";"Łowca"
"2";"PRZEJŚCIE BEZ ŚLADU";" Odpychanie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (popiół ze spalonego liścia jemioły i świerkowej gałązki)";" Koncentracja, do 1 godziny";" Roztaczasz wokół siebie zasłonę cierni i ciszę, które skrywają ciebie i twoich towarzyszy.<br><br>Przez czas działania czaru, każda wybrana przez ciebie istota, znajdująca się do 9m od ciebie (łącznie z tobą), otrzymuje modyfikator +10 w testach Zręczności (Skradanie się) i nie może zostać wytropiona niemagicznymi sposobami. Istota skryta zaklęciem, nie pozostawia tropów ani innych śladów swojego przejścia.";"Łowca"
"2";"WIDZENIE W CIEMNOŚCI";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (agat lub szczypta suszonej marchwi)";" 8 godzin";" Dotykasz przychylnej istoty i zapewniasz jej możliwość widzenia w mroku. W czasie trwania czaru, ma ona zdolność widzenia w ciemności na odległość 18m.";"Łowca"
"2";"WYKRYCIE PUŁAPEK";" Wieszczenie, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wyczuwasz obecność wszystkich pułapek znajdujących się na linii wzroku w zasięgu czaru.<br><br>Na potrzeby tego zaklęcia, pułapką jest wszystko, co mogłoby wywołać nagły lub niespodziewany efekt odbierany jako szkodliwy lub niepożądany i zostało przygotowane specjalnie w tym celu. Dlatego przy pomocy tego czaru możesz wykryć obszar objęty alarmem bądź glifem strażniczym, albo mechaniczną zapadnię, ale nie naturalnie występujące słabe punkty, niestabilny sufit czy niewidoczne zapadlisko.<br><br>Zaklęcie jedynie ujawnia obecność pułapek - nie poznajesz położenia każdej pułapki, ale dowiadujesz się o ogólnej naturze stwarzanego przez nią zagrożenia.";"Łowca"
"2";"WZROST KOLCÓW";" Przemiany, 2. krąg";" 1 akcja";" 45 metrów";" W, S, M (siedem ostrych cierni lub małych, zaostrzonych gałązek)";" Koncentracja, do 10 minut";" Ziemia w promieniu 6m wokół punktu wskazanego w zasięgu czaru, pokrywa się twardymi kolcami i cierniami. Obszar objęty czarem, na ten czas jego trwania, staje się trudnym terenem.<br><br>Poruszające się po niej istoty otrzymują 2k4 obrażeń kłutych za każde 1,5m przebytej odległości.<br><br>Przemiana ziemi jest zakamuflowana tak, by jej powierzchnia wyglądała naturalnie. Wszystkie stworzenia, które nie widzą obszaru w momencie rzucania czaru, przed wkroczeniem do niego muszą wykonać udany test Mądrości (Percepcja) o ST rzutu obronnego przeciw twoim czarom, by rozpoznać teren jako niebezpieczny.";"Łowca"
"2";"ZWIERZĘCE ZMYSŁY";" Wieszczenie, 2. krąg (rytuał)";" 1 akcja";" Dotyk";" S";" Koncentracja, do 1 godziny";" Dotykasz przychylnego zwierzęcia. W czasie działania czaru, możesz przeznaczyć swoją akcję na skorzystanie z jego zmysłów wzroku i słuchy. Możesz to robić, dopóki nie przeznaczysz kolejnej akcji na powrót do swoich własnych zmysłów. W tym czasie, możesz korzystać ze specjalnych zmysłów tego zwierzęcia, ale twoje własne zmysły wzroku i słuchu nie działają.";"Łowca"
"2";"ZWIERZĘCY POSŁANIEC";" Uroki, 2. krąg (rytuał)";" 1 akcja";" 9 metrów";" W,S,M (odrobina jedzenia)";" 24 godziny";" Za pomocą tego czaru jesteś w stanie przesłać wiadomość przy pomocy zwierzęcia. Wybierz Malutkie zwierzę, które widzisz w zasięgu czaru, takie jak nietoperz, sójka, bądź wiewiórka. Określasz znaną ci lokację oraz ogólnie opisujesz adresata, np.: “mężczyzna lub kobieta w mundurze straży miejskiej”, albo “rudowłosy krasnolud w szpiczastym kapeluszu”. Dołączasz do tego wiadomość złożoną maksymalnie z 25 słów. Zaklęte zwierzę podróżuje do miejsca przeznaczenia, przebywając ok. 80 km na dobę w przypadku latającego posłańca, bądź ok. 40 km na dobę w pozostałych przypadkach.<br><br>Gdy posłaniec osiągnie cel, dostarcza opisanej istocie twoją wiadomość, naśladując dźwięk twojego głosu. Posłaniec przemawia tylko do osoby odpowiadającej podanemu opisowi. Jeżeli w czasie trwania czaru nie zdoła dotrzeć do adresata, to wiadomość przepada, a zwierzę wraca do miejsca,w którym je zaczarowałeś.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., przedłużasz działanie czaru o 48h.";"Łowca"
"3";"NIEWYKRYWALNOŚĆ";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (szczypta diamentowego pyłu o wartości 25 sz, którym należy obsypać cel, zużywana przez zaklęcie)";" 8 godzin";" Na czas trwania zaklęcia, ukrywasz dotknięty cel przed magią wieszczenia. Celem może być przychylne stworzenie, miejsce albo obiekt, którego żaden z wymiarów nie przekracza 3 metrów.<br><br>Chronionego tym zaklęciem celu nie można objąć magią wieszczenia ani wykryć magicznymi czujnikami.";"Łowca"
"3";"OCHRONA PRZED ENERGIĄ";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 godziny";" Podczas trwania czaru, przychylne stworzenie jest odporne na obrażenia wybranego przez ciebie typu: od dźwięku, elektryczności, kwasy, ognia, albo zimna.";"Łowca"
"3";"ODDYCHANIE POD WODĄ";" Przemiany, 3. krąg (rytuał)";" 1 akcja";" 9 metrów";" W, S, M (krótka trzcina lub kawałek słomy)";" 24 godziny";" Czar umożliwia oddychanie pod wodą dziesięciu wybranym, przychylnym istotom, które widzisz w zasięgu czaru. Istoty te mogą też nadal oddychać w normalny sposób.";"Łowca"
"3";"PIORUNOSTRZAŁ";" Przemiany, 3. krąg";" 1 akcja dodatkowa";" Na siebie";" W, S";" Koncentracja, do 1 minuty";" Podczas twojego następnego ataku bronią dystansową, wykonanego w trakcie trwania zaklęcia, wystrzelony pocisk lub rzucona broń zmienia się w piorun. Wykonaj zwykły test ataku. Zamiast normalnych obrażeń broni, cel otrzymuje 4k8 obrażeń od elektryczności (jeśli trafisz), a połowę tej liczby (jeśli chybisz).<br><br>Niezależnie od tego, czy udało ci się trafić, każda istota w obrębie 3m od celu, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 2k8 obrażeń od elektryczności. Udany rzut zmniejsza obrażenia o połowę. Pocisk lub broń rzucana, wraca następnie do swojej naturalnej postaci.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., zwiększasz obrażenia obu efektów zaklęcia o 1k8.";"Łowca"
"3";"PRZYWOŁANIE OGNIA ZAPOROWEGO";" Przywoływanie, 3. krąg";" 1 akcja";" Na siebie (stożek 18 m)";" W,S,M (sztuka amunicji lub broni rzucanej)";" Natychmiastowy";" Sprawiasz, że egzemplarz rzuconej niemagicznej broni lub wystrzelony niemagiczny pocisk wybucha w stożek identycznych broni, które następnie znikają. <br><br>Każda istota na obszarze w kształcie stożka o długości 18m, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 3k8 obrażeń. Udany rzut zmniejsza obrażenia o połowę.<br><br>Obrażenia są tego samego typu, co podstawowe obrażenia broni lub amunicji będącej komponentem czaru.";"Łowca"
"3";"PRZYWOŁANIE ZWIERZĄT";" Przywoływanie, 3. krąg";" 1 akcja";" 18 metrów";" W, S";" Koncentracja, do 1 godziny";" Przywołujesz duchy fey, które przybierają formę zwierząt i pojawiają się w wolnej przestrzeni widocznej w zasięgu czaru. Wybierz jedną z możliwości:<br>*1 bestia o stopniu wyzwania nie większym niż 2,<br>*2 bestie o stopniu wyzwania nie większym niż 1,<br>*4 bestie o stopniu wyzwania nie większym niż ½,<br>*8 bestii o stopniu wyzwania nie większym niż ¼.<br>Każde ze zwierząt jest jednocześnie traktowane jak fey. Znika, kiedy jego punkty wytrzymałości spadną do 0, lub gdy czar dobiega końca.<br>Istoty są przyjazne tobie i twoim sprzymierzeńcom. Wykonujesz za nie (grupowo) rzut na inicjatywę, gdyż będą działać w swojej turze. Są posłuszne twoim słownym poleceniom (nie wymagają one twojej akcji). Jeśli nie wydasz polecenia, przywołane istoty ograniczą się do obrony przed wrogami, ale nie będą wykonywać innych akcji. MP dysponuje statystykami przywołanych stworzeń. <br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę wyższego kręgu, przywołujesz więcej istot z wybranego wariantu: dwa razy więcej na 5. kręgu, trzy razy więcej na 7. kręgu i cztery razy więcej na 9. kręgu.";"Łowca"
"3";"ROZMAWIENIE Z ROŚLINAMI";" Przemiany, 3. krąg";" 1 akcja";" Na siebie (okrąg o promieniu 9 metrów)";" W,S";" 10 minut";" Budzisz ograniczoną świadomość w roślinach znajdujących się do 9m od ciebie, obdarzając je zdolnością porozumiewania się z tobą i wypełniania twoich prostych poleceń. Możesz pytać rośliny oo wydarzenia, które miały miejsce w obrębie czaru w ciągu minionego dnia, i zdobywać informacje o przechodzących zwierzętach, pogodzie i innych zaistniałych okolicznościach.<br>Możesz również na czas działania czaru, zmienić trudny teren spowodowany roślinnością (zarośla, lub gęste podszycie), w zwyczajny teren albo odwrotnie. <br>Za zgodą MP, rośliny mogą być w stanie wykonać dla ciebie inne zadania. Zaklęcie nie umożliwia im wyciągnięcia z ziemi korzeni i przemieszczanie się, ale mogą one swobodnie poruszać gałęziami, łodygami i pnączami.<br>Jeśli na obszarze zaklęcia, znajduje się istota tylu roślinnego, to możesz się z nią porozumieć tak, jakbyście znali ten sam język, ale nie wywierasz na nią żadnego, magicznego wpływu. <br><br>Przy pomocy tego zaklęcia możesz spowodować, że rośliny stworzone oplątaniem, uwolnią uwięzioną istotę.";"Łowca"
"3";"ROZROST ROŚLIN";" Przemiany, 3. krąg";" 1 akcja lub 8 godzin";" 45 metrów";" W, S";" Natychmiastowy";" Przy pomocy tego zaklęcia, wzmagasz siły życiowe roślinności na określonym obszarze. Możesz to zrobić na dwa sposoby, zapewniając jej natychmiastowe lub długoterminowe korzyści.<br>Jeśli rzucasz to zaklęcie, używając pojedynczej akcji podstawowej, wybierz punkt w jego zasięgu. Zwyczajna roślinność w promieniu 30 metrów od niego, stanie się wybujała i przerośnięta. Stworzenia podróżujące przez ten obszar, muszą zużyć 4 metry szybkości, by przemieścić się o 1 metr. <br><br>W obrębie obszaru obejmowanego zaklęciem, możesz wskazać dowolnego rozmiaru strefy, które wyłączasz spod jego działania.<br><br>Jeżeli rzucasz to zaklęcie przez 8 godzin, użyźniasz ziemię w okolicy. Roślinność w promieniu 750 metrów od wskazanego<br>punktu w zasięgu czaru, zostaje na 1 rok wyjątkowo odżywione. Podczas zbiorów, wyda dwa razy większe plony niż zwykle.";"Łowca"
"3";"SPACER PO WODZIE";" Przemiany, 3. krąg rytuał";" 1 akcja";" 9 metrów";" W, S, M (kawałek korka)";" 1 godzina";" Ten czar zapewnia zdolność poruszania się po powierzchni cieczy lub podobnej substancji - wody, kwasu, błota, śniegu, ruchomych piasków, a nawet lawy - jakby była bezpiecznym stałym gruntem (choć istota chodząca po lawie wciąż może otrzymać obrażenia od gorąca). Możesz zapewnić tę zdolność na czas trwania czaru maksymalnie 10 przychylnym ci istotom, które widzisz w zasięgu.<br><br>Jeżeli obejmiesz zaklęciem istotę zanurzoną w płynie, to zostanie ona wyniesiona na powierzchnię z prędkością 18 m na rundę.";"Łowca"
"3";"ŚCIANA WICHRU";" Wywoływanie, 3. krąg";" 1 akcja";" 36 metrów";" W, S, M (malutki wachlarz i egzotyczne pióro)";" Koncentracja, do 1 minuty";" Ze wskazanego miejsca na ziemi, położonego w zasięgu czaru, bucha ściana silnego wiatru. Możesz nadać jej wymiary do 15 metrów długości, do 4,5 metra wysokości i 30 centymetrów grubości oraz dowolnie ją ukształtować, o ile stworzy ciągłą<br>linię na poziomie gruntu. Ściana utrzymuje się przez cały czas działania zaklęcia. <br>Gdy ściana się pojawia, wszystkie stworzenia przebywające na jej obszarze muszą wykonać rzut obronny na Siłę. W przypadku niepowodzenia, otrzymują 3k8 obrażeń obuchowych. Udany rzut zmniejsza obrażenia o połowę. <br><br>Silny wiatr odpycha mgłę, dym i gaz. Małe i mniejsze latające istoty lub obiekty, nie mogą przedostać się przez ścianę. Luźne, lekkie rzeczy dostające się w obszar wiatru zostają porwane ku górze. Wystrzelone przez ścianę strzały, bełty i inne zwyczajne pociski, zostają odbite ku górze i automatycznie chybiają. (Nie dotyczy to głazów miotanych przez olbrzymy lub machiny oblężnicze oraz podobnych pocisków). Przez ścianę nie mogą przedostać się istoty w formie gazowej.";"Łowca"
"3";"ŚWIATŁO DNIA";" Wywoływanie, 3. krąg";" 1 akcja";" 18 metrów";" W, S";" 1 godzina";" Z wybranego punktu w zasięgu czaru, wyłania się kula jasnego światła o promieniu 18m.<br><br>Jeśli jako cel zaklęcia wskażesz przedmiot, który trzymasz, albo taki, którego nie trzyma ani nie nosi ktoś inny, to światło dobywa się z tego przedmiotu i przemieszcza się wraz z nim. Można je stłumić, zakrywając całkowicie świecący obiekt czymś nieprzezroczystym, np miską lub hełmem.<br><br>W przypadku nawet częściowego nakładania się obszaru tego czaru na obszar ciemności stworzonej zaklęciem kręgu 3. lub niższego, zaklęcie tworzące ciemność zostaje rozproszone.";"Łowca"
"4";"CHWYTNE PNĄCZE";" Przywoływanie, 4. krąg";" 1 akcja dodatkowa";" 9 metrów";" W, S";" Koncentracja, do 1 minuty";" Przywołujesz pnącze wyrastające z podłoża w wybranym wolnym miejscu, które widzisz w zasięgu czaru. Następnie możesz rozkazać mu, by rzuciło się na widoczną dla ciebie istotę w obrębie 9 metrów od niego. Cel musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, pnącze przyciąga go o 6 metrów do siebie.<br><br>W czasie trwania czaru możesz w każdej swojej turze w ramach akcji dodatkowej nakazać pnączu zaatakowanie tej samej lub innej istoty.";"Łowca"
"4";"KAMIENNA SKÓRA";" Odpychanie, 4. krąg";" 1 akcja";" Dotyk";" W, S, M (diamentowy pył o wartości 100 sz, zużywany przez zaklęcie)";" Koncentracja, do 1 godziny";" Zaklęciem tym sprawiasz, że ciało dotkniętego przychylnego stworzenia staje się twarde jak głaz.<br><br>Do końca trwania czaru, jego cel jest odporny na niemagiczne obrażenia cięte, kłute i obuchowe.";"Łowca"
