"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Czarownik"
"1";"ROZUMIENIE JĘZYKÓW";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S, M (szczypta sadzy i soli)";" 1 godzina";" Na czas działania czaru uzyskujesz zdolność dosłownego rozumienia mowy W każdym języku, jaki słyszysz. Rozumiesz także pismo, które widzisz, ale musisz W tym celu dotykać powierzchni, na której zostały zapisane słowa. Przeczytanie jednej strony tekstu zajmuje około 1 minuty. Przy pomocy tego zaklęcia nie rozszyfrujesz tajnych wiadomości W tekście ani glifu, takiego jak magiczna pieczęć, który nie jest częścią języka pisanego.";"Czarownik"
"1";"UROK";" Uroki, 1. krąg";" 1 akcja dodatkowa";" 27 metrów";" W, S, M (skamieniałe oko traszki)";" Koncentracja, do 1 godziny";" Rzucasz klątwę na istotę, którą widzisz w zasięgu czaru. Podczas jego trwania przy trafieniu atakiem zadajesz jej dodatkowych 1k6 obrażeń nekrotycznych. Co więcej, gdy rzucasz ten czar, wybierasz jedną cechę, w której testach przeklęta istota będzie miała utrudnienie.<br><br>Jeżeli przed zakończeniem czaru punkty wytrzymałości celu spadną do 0, to możesz w ramach akcji dodatkowej w swojej turze przenieść klątwę na nową istotę. Zaklęcie można zakończyć wcześniej, czarem zdjęcie klątwy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę 3. lub 4. kręgu, możesz się na nim koncentrować do 8h. Jeśli wykorzystujesz komórkę 5. lub wyższego kręgu, możesz utrzymywać koncentrację na zaklęciu do 24h.";"Czarownik"
"1";"WIEDŹMI POCISK";" Wywoływanie, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (gałązka z drzewa uderzonego piorunem)";" Koncentracja, do 1 minuty";" Promień trzaskającej, błękitnej energii wystrzela w kierunku stworzenia w zasięgu czaru i tworzy łuk elektryczności pomiędzy tobą a nim. Wykonaj atak dystansowy czarem przeciwko celowi zaklęcia. Przy trafieniu otrzymuje on 1k12 obrażeń od elektryczności, a w każdej kolejnej turze podczas trwania czaru możesz w ramach swojej akcji automatycznie zadać mu kolejne 1k12 obrażeń.<br><br>Zaklęcie kończy się, jeśli wykorzystasz swoją akcję do czegokolwiek innego. Przestanie działać również wtedy, kiedy twój cel wyjdzie poza zasięg zaklęcia albo znajdzie się za całkowitą osłoną.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz początkowe obrażenia o 1k12.";"Czarownik"
"1";"ZAUROCZENIE OSOBY";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S";" 1 godzina";" Próbujesz zauroczyć humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość, w którym ma ułatwienie, jeśli walczy z tobą, lub z którymś z twoich towarzyszy. W przypadku niepowodzenia zostaje przez ciebie zauroczony na czas trwania zaklęcia lub do momentu, w którym ty, lub któryś z twoich towarzyszy zadziałacie na jego szkodę. Zauroczony humanoid postrzega ciebie jako<br>przyjaznego znajomego. Gdy czar dobiega końca, cel ma świadomość, że został przez ciebie zauroczony.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć zauroczeniem dodatkową istotę. W momencie rzucania czaru, wszystkie cele muszą przebywać w obrębie 9m od siebie.";"Czarownik"
"1";"ZBROJA AGATHYS";" Odpychanie, 1. krąg";" 1 akcja";" Na siebie";" W, S, M (kubek wody)";" 1 godzina";" Otaczasz się ochronną magiczną mocą, objawiającą się w formie widmowego szronu pokrywającego ciebie i twoje wyposażenie. Na czas działania zaklęcia otrzymujesz 5 tymczasowych punktów wytrzymałości. Jeśli zostaniesz trafiony atakiem wręcz, póki posiadasz te dodatkowe PW, to napastnik otrzyma 5 obrażeń od zimna.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz o 5 zarówno tymczasowe punkty wytrzymałości, jak i obrażenia od zimna.";"Czarownik"
"2";"CHMURA SZTYLETÓW";" Przywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (szklana drzazga)";" Koncentracja, do 1 minuty";" W powietrzu pojawia się chmura wirujących sztyletów, formująca sześcian o boku 1,5m, którego środek znajduje się w zasięgu czaru. Istota wchodząca w obszar działania czaru pierwszy raz w swojej turze, albo rozpoczynająca w nim turę otrzymuje 4k4 obrażeń ciętych.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz obrażenia o 2k4.";"Czarownik"
"2";"CIEMNOŚĆ";" Wywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, M (futro nietoperza oraz kropla smoły lub kawałek drewna)";" Koncentracja, do 10 minut";" Wskazujesz punkt w zasięgu czaru i wysnuwasz z niego magiczną ciemność, wypełniając nią kulistą przestrzeń o promieniu 4,5m. Ciemność rozprzestrzenia się wokół rogów i załomów. Istoty posiadające zdolność do widzenia w ciemności nie mogą jej przejrzeć, a niemagiczne światło, nie może jej rozświetlić.<br><br>Jeśli wskazany punkt znajduje się na przedmiocie trzymanym przez ciebie, albo takim, który nie jest trzymany lub noszony przez kogoś innego, to ciemność rozchodzi się z tego przedmiotu i przemieszcza wraz z nim. Całkowite zakrycie źródła nieprzezroczystym przedmiotem, np. miską lub hełmem, blokuje emanację ciemności. Jeśli obszar magicznej ciemności nałoży się na obszar magicznego światła stworzonego zaklęciem z kręgu 2., lub niższego, to zaklęcie światła zostaje rozproszone.";"Czarownik"
"2";"FASCYNACJA";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" 1 minuta";" Splatasz słowa wypowiedzi przyciągającej uwagę. Wybrane istoty znajdujące się w zasięgu czaru, które widzisz i które mogą cię usłyszeć, muszą wykonać rzut obronny na Mądrość.<br><br>Istoty odporne na zauroczenie odnoszą automatyczny sukces, a walczące z tobą lub twoimi sojusznikami, otrzymują ułatwienie. W przypadku niepowodzenia, cel otrzymuje utrudnienie w testach Mądrości (Percepcja) sprawdzających, czy dostrzega kogokolwiek poza tobą.<br><br>Efekt trwa do zakończenia czaru lub do momentu, gdy zafascynowana istota przestanie cię słyszeć. Czas kończy się przedwcześnie, jeśli zostaniesz obezwładniony, albo nie będziesz już mógł mówić.";"Czarownik"
"2";"KORONA OBŁĘDU";" Uroki, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 minuty";" Wybierz humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostanie przez ciebie zauroczony na czas trwania zaklęcia. Na głowie zauroczonej osoby pojawia się dziwaczna korona z żelaznych cierni, a w jej oczach lśni obłęd.<br><br>Zauroczona osoba w każdej swojej turze przed poruszeniem się, musi wykorzystać swoją akcję, by zaatakować wręcz inne stworzenie, które jej telepatycznie wskażesz. Jeśli nie wyznaczysz celu, lub żaden nie znajduje się w zasięgu zauroczonej osoby, to może ona zachowywać się normalnie. <br><br>Aby podtrzymać zaklęcie, musisz w kolejnych turach używać swojej akcji na utrzymanie kontroli nad celem. Co więcej, zauroczona istota może ponawiać rzut obronny na Mądrość, pod koniec każdej swojej tury. Gdy odniesie sukces, czar dobiega końca.";"Czarownik"
"2";"KROK PRZEZ MGŁĘ";" Przywoływanie, 2. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Natychmiastowy";" Otaczasz się na moment srebrzystą mgłą i teleportujesz się na odległość 9m w wolne miejsce, które widzisz.";"Czarownik"
"2";"LUSTRZANE ODBICIA";" Iluzje, 2. krąg";" 1 akcja";" Na siebie";" W, S";" 1 minuta";" Pojawiają się przy tobie twoje trzy iluzoryczne kopie. Do zakończenia czaru przemieszczają się wraz z tobą, naśladują twoje działania i zmieniają pozycję tak, by uniemożliwić odróżnienie ich od ciebie. W ramach swojej akcji możesz odwołać tę iluzję.<br><br>Za każdym razem, gdy jesteś celem ataku podczas trwania zaklęcia, rzuć k20, by sprawdzić, czy atak trafił w ciebie, czy w twoją kopię. Gdy posiadasz trzy kopie, musisz wyrzucić co najmniej 6, by atak został przekierowany na iluzję. Przy dwóch kopiach, musisz wyrzucić co najmniej 8. Mając tylko jedną kopię, musisz wyrzucić co najmniej 11. KP twojego lustrzanego odbicia wynosi 10 + twój modyfikator ze Zręczności. Iluzja trafiona atakiem - znika. Iluzję może zniszczyć jedynie wymierzony w nią atak - ignoruje wszystkie inne efekty i źródła obrażeń. Zaklęcie wygasa, gdy wszystkie trzy kopie zostaną zniszczone.<br><br> Iluzja nie zadziała na istotę, która jej nie widzi, albo polega na zmysłach innych niż wzrok, np. ślepowidzeniu, bądź potrafi przejrzeć iluzje, jak przy pomocy zdolności prawdziwego widzenia.";"Czarownik"
"2";"NIEWIDZIALNOŚĆ";" Iluzje, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (rzęsa zatopiona w gumie arabskiej)";" Koncentracja, do 1 godziny";" Istota, której dotykasz, staje się niewidzialna na czas trwania czaru. Całe jej wyposażenie i odzienie również jest niewidzialne, dopóki się na niej znajduje. Zaklęcie kończy się, gdy jego cel wykona atak lub rzuci czar.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórę co najmniej 3. kręgu, za każdy krąg powyżej 2., możesz objąć zaklęciem dodatkową istotę. ";"Czarownik"
"2";"PAJĘCZA WSPINACZKA";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (kropla smoły i pająk)";" Koncentracja, do 1 godziny";" Przychylna, dotknięta przez ciebie istota, zyskuje do końca trwania czaru zdolność poruszania się w górę, w dół i w poprzek pionowych powierzchni oraz chodzenia po suficie do góry nogami. Cel zaklęcia zachowuje przy tym wolne ręce, a jego szybkość wspinania się jest równa jego szybkości chodzenia.";"Czarownik"
"2";"PROMIEŃ OSŁABIENIA";" Nekromancja, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" Koncentracja, do 1 minuty";" Czarny promień osłabiającej energii strzela z twojego palca w stronę istoty znajdującej się w zasięgu czaru. Wykonaj atak dystansowy czarem. Trafiony cel, do końca trwania czaru, będzie zadawał tylko połowę swoich obrażeń atakami bronią opartymi na Sile.<br><br>Pod koniec każdej swojej tury, cel może spróbować wykonać rzut obronny na Kondycję przeciw twojemu zaklęciu. udany rzut oznacza koniec czaru.";"Czarownik"
"2";"SUGESTIA";" Uroki, 2. krąg  ";" 1 akcja";" 9 metrów";" W, M (język węża i plaster miodu lub kropla słodkiego olejku)";" Koncentracja, do 8 godzin";" Wybierz istotę, która może cię usłyszeć i zrozumieć. Wpływasz na jej umysł i w jednym lub dwóch zdaniach sugerujesz jej kierunek działań. Istoty odporne na zauroczenie są niepodatne. Sugestia musi być sformułowana w taki sposób, by brzmiała rozsądnie. Zaklęcie skończy się, jeśli każesz komuś dźgnąć się nożem, rzucić się na włócznię, podpalić się, albo w inny sposób zaszkodzić samemu sobie.<br>Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia działa zgodnie z twoją sugestią najlepiej jak potrafi. Może to robić przez cały czas trwania zaklęcia, chyba że sugerowane działanie da się ukończyć wcześniej - wówczas ukończenie zadania sprawi, że zaklęcie dobiegnie końca. Możesz określić warunki, w których sugerowane działanie ma zostać rozpoczęte. Przykładowo, możesz zasugerować rycerce, by oddała swego rumaka pierwszemu napotkanemu żebrakowi. Jeśli w czasie trwania czaru okoliczności nie wystąpi, działanie nie zostanie podjęte...<br><br>Podręcznik gracza str.267<br><br>";"Czarownik"
"2";"TRZASK";" Wywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (odłamek miki)";" Natychmiastowy";" Z punktu, który widzisz w zasięgu czaru, dobywa się nagły, głośny i boleśnie intensywny dźwięk. Każda istota znajdująca się w obrębie strefy o promieniu 3m wokół tego punktu, musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 3k8 obrażeń od dźwięku. Udany rzut zmniejsza obrażenia o połowę. Stworzenia z materii nieorganicznej, takiej jak kamień, kryształ lub metal, mają w tym rzucie utrudnienie. Obrażenia otrzymują również znajdujące się w zasięgu czaru niemagiczne obiekty, które ni są noszone lub trzymane. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz zadawane obrażenia o 1k8.";"Czarownik"
"2";"UNIERUCHOMIENIE OSOBY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz humanoida, którego widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Pod koniec każdej swojej tury może ponowić rzut obronny<br>na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć czarem jednego dodatkowego humanoida. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9m od siebie.<br>";"Czarownik"
"3";"FORMA GAZOWA";" Przemiany, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (kawałek gazy i smużka dymu)";" Koncentracja, do 1 godziny";" Dotknięciem przemieniasz przychylną ci istotę i jej wyposażenie w kłąb mgły. Zaklęcie kończy się, gdy punkty wytrzymałości istoty spadną do 0. Bezcielesne stworzenia są niepodatne na ten czar.<br><br>W formie gazowej istota porusza się, latając z szybkością 3m. Może przebywać w miejscu zajmowanym przez inne stworzenie. Posiada odporność na obrażenia niemagiczne i ułatwienie w rzutach obronnych na Siłę, Zręczność i Kondycję. Może przeciskać się przez niewielkie otwory, wąskie szczeliny, a nawet małe pęknięcia, ale traktuje płyny, jakby były ciałem stałym. Istota w formie gazowej, nie może spać i unosi się w powietrzu nawet ogłuszona lub obezwładniona.<br><br>W formie mgły nie można mówić ani używać przedmiotów, a posiadanych rzeczy nie można upuścić, użyć ani oddziaływać na nie w inny sposób. Nie da się też atakować i rzucać zaklęć.";"Czarownik"
"3";"GŁÓD HADARA";" Przywołanie, 3. krąg";" 1 akcja";" 45 metrów";" W, S, M (marynowana macka ośmiornicy)";" Koncentracja, do 1 minuty";" Otwierasz przejście do międzygwiezdnej pustki opanowanej przez niewysłowione koszmar. Sprowadzasz we wskazany punkt kulę lodowatego mroku, o promieniu 6m, która kipi<br>kakofonią miękkich szeptów i głośnego siorbania, słyszalną na odległość 9m. Pustki tej nie można rozjaśnić żadnym rodzajem światła, a istoty znajdujące się całkowicie w jej obrębie zostają oślepione.<br><br>Próżnia wypacza strukturę przestrzeni i stanowi trudny teren. Każde stworzenie rozpoczynające swoją turę w obszarze działania czaru, otrzymuje 2k6 obrażeń od zimna. <br><br>Każde stworzenie kończące swoją turę w obszarze działania czaru, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 2k6 obrażeń od kwasu, gdy ocierają się o nie białe, nieziemskie macki.";"Czarownik"
"3";"HIPNOTYCZNY WZÓR";" Iluzje, 3. krąg";" 1 akcja";" 36 metrów";" S, M (płonące kadzidełko albo kryształowa fiolka z fosforyzującą zawartością)";" Koncentracja, do 1 minuty";" Tworzysz wijący się barwny wzór, poruszający się w powietrzu w obrębie sześcianu o boku 9m. Wzór pojawia się na chwilę, po czym znika. Stworzenia w obszarze działania zaklęcia, które widzą wzór, muszą zdać rzut obronny na Mądrość, albo zostaną zauroczone na czas trwania zaklęcia. <br><br>Zauroczone istoty są traktowane jako obezwładnione, a ich szybkość wynosi 0.<br>Zauroczenie mija, jeśli istota otrzyma obrażenia albo ktoś przeznaczy swoją akcję, by wyrwać ją z otępienia.";"Czarownik"
"3";"JĘZYKI";" Wieszczenie, 3. krąg";" 1 akcja";" Dotyk";" W, M (mała gliniana figurka zigguratu)";" 1 godzina";" Dotykasz wybranej istoty i zapewniasz jej zdolność<br>rozumienia każdego języka. Ponadto, kiedy ona przemawia, rozumie ją każde słyszące ją stworzenie, które zna jakikolwiek język.";"Czarownik"
